paradigm,r_full,r_purified,delta_r,steiger_z,p_uncorrected,p_bonferroni,normality_test_p,linearity_flag
IFR,0.790486738307095,0.8885509201392359,0.09806418183214083,6.244965392264771,2.1194701549376305e-10,6.358410464812891e-10,1.6360268206026351e-06,linear
ICR,0.8838177116684012,0.9068251201578148,0.023007408489413628,2.282058564231416,0.011242941450180677,0.03372882435054203,0.0014495772637729987,linear
IRE,0.8170166003483466,0.8672886666213515,0.050272066273004956,3.354245820111208,0.00039790815027207493,0.0011937244508162248,3.314974355944062e-05,linear
