paradigm,AIC_IRT,AIC_full,AIC_purified,delta_AIC_full_purified,delta_AIC_purified_IRT,coef_intercept_IRT,coef_slope_IRT,coef_intercept_full,coef_slope_full,coef_intercept_purified,coef_slope_purified,slope_correlation_full_purified,convergence_flag_IRT,convergence_flag_full,convergence_flag_purified,random_structure
IFR,1008.326866239172,1056.3374907017906,1089.689656787088,-33.35216608529754,81.36279054791612,0.41978620338170486,-0.006462897597606027,0.37858927197713493,-0.005828642477122171,0.25525312429166713,-0.003929797574280989,0.9982549533065977,True,True,True,intercept_only
ICR,983.9257532964134,958.4641821944797,963.7509402352807,-5.286758040801033,-20.17481306113268,0.47366396478567985,-0.007292382825889089,0.5048093594516692,-0.007771887618428167,0.4870196429584925,-0.007498002685908588,0.9982549533065977,True,True,True,intercept_only
IRE,975.3122117307689,1005.7137079681297,1012.5474147718696,-6.833706803739915,37.235203041100704,0.4709801324612549,-0.007251063379603859,0.47327139753262804,-0.007286338982770351,0.44219667919354694,-0.0068079223009402485,0.9982549533065977,True,True,True,intercept_only
