UID,test,CTT_purified_IFR,CTT_purified_ICR,CTT_purified_IRE
A010,1,0.75,0.9473684210526315,0.9285714285714286
A010,2,0.25,0.6842105263157895,0.6428571428571429
A010,3,0.25,0.5263157894736842,0.42857142857142855
A010,4,0.6666666666666666,0.5789473684210527,0.5714285714285714
A011,1,0.9166666666666666,0.5263157894736842,0.5714285714285714
A011,2,0.5,0.6842105263157895,0.5714285714285714
A011,3,0.6666666666666666,0.5789473684210527,0.35714285714285715
A011,4,0.25,0.42105263157894735,0.5714285714285714
A012,1,0.75,0.631578947368421,0.7142857142857143
A012,2,0.25,0.5789473684210527,0.21428571428571427
A012,3,0.75,0.5263157894736842,0.5714285714285714
A012,4,0.4166666666666667,0.21052631578947367,0.21428571428571427
A013,1,0.16666666666666666,0.631578947368421,0.5714285714285714
A013,2,0.5,0.42105263157894735,0.5
A013,3,0.5833333333333334,0.631578947368421,0.5714285714285714
A013,4,0.25,0.3157894736842105,0.5
A014,1,0.3333333333333333,0.8421052631578947,0.5714285714285714
A014,2,0.75,0.6842105263157895,0.7142857142857143
A014,3,0.5833333333333334,0.5263157894736842,0.35714285714285715
A014,4,0.5,0.3157894736842105,0.42857142857142855
A015,1,0.6666666666666666,0.7894736842105263,0.8571428571428571
A015,2,0.75,0.8947368421052632,0.6428571428571429
A015,3,0.9166666666666666,0.7894736842105263,0.6428571428571429
A015,4,0.4166666666666667,0.6842105263157895,0.5
A016,1,0.9166666666666666,0.6842105263157895,0.7142857142857143
A016,2,0.5833333333333334,0.6842105263157895,0.7142857142857143
A016,3,0.4166666666666667,0.47368421052631576,0.5714285714285714
A016,4,0.3333333333333333,0.21052631578947367,0.35714285714285715
A017,1,0.5833333333333334,0.47368421052631576,0.35714285714285715
A017,2,0.6666666666666666,0.631578947368421,0.5714285714285714
A017,3,0.4166666666666667,0.631578947368421,0.5714285714285714
A017,4,0.6666666666666666,0.6842105263157895,0.7142857142857143
A018,1,0.5833333333333334,0.7368421052631579,0.7142857142857143
A018,2,0.5833333333333334,0.5789473684210527,0.6428571428571429
A018,3,0.08333333333333333,0.5263157894736842,0.42857142857142855
A018,4,0.4166666666666667,0.5263157894736842,0.5
A019,1,0.4166666666666667,0.47368421052631576,0.35714285714285715
A019,2,0.3333333333333333,0.3157894736842105,0.35714285714285715
A019,3,0.25,0.3684210526315789,0.42857142857142855
A019,4,0.25,0.47368421052631576,0.21428571428571427
A020,1,0.5,0.3684210526315789,0.42857142857142855
A020,2,0.16666666666666666,0.47368421052631576,0.7142857142857143
A020,3,0.25,0.42105263157894735,0.5714285714285714
A020,4,0.08333333333333333,0.15789473684210525,0.14285714285714285
A021,1,0.75,0.6842105263157895,0.6428571428571429
A021,2,0.5833333333333334,0.6842105263157895,0.35714285714285715
A021,3,0.6666666666666666,0.5263157894736842,0.42857142857142855
A021,4,0.75,0.5789473684210527,0.5
A022,1,0.5833333333333334,0.5789473684210527,0.42857142857142855
A022,2,0.5,0.631578947368421,0.6428571428571429
A022,3,0.6666666666666666,0.5789473684210527,0.42857142857142855
A022,4,0.5833333333333334,0.631578947368421,0.7142857142857143
A023,1,0.5,0.6842105263157895,0.7142857142857143
A023,2,0.25,0.5789473684210527,0.5714285714285714
A023,3,0.3333333333333333,0.5789473684210527,0.5714285714285714
A023,4,0.5,0.5263157894736842,0.5714285714285714
A024,1,0.6666666666666666,0.5263157894736842,0.5
A024,2,0.4166666666666667,0.6842105263157895,0.5
A024,3,0.5833333333333334,0.42105263157894735,0.5
A024,4,0.3333333333333333,0.2631578947368421,0.21428571428571427
A025,1,0.75,0.7368421052631579,0.7857142857142857
A025,2,0.9166666666666666,0.7894736842105263,0.6428571428571429
A025,3,0.4166666666666667,0.47368421052631576,0.5714285714285714
A025,4,0.08333333333333333,0.3684210526315789,0.5714285714285714
A026,1,0.5,0.6842105263157895,0.7857142857142857
A026,2,0.6666666666666666,0.5263157894736842,0.42857142857142855
A026,3,0.6666666666666666,0.6842105263157895,0.7857142857142857
A026,4,0.5833333333333334,0.47368421052631576,0.35714285714285715
A027,1,0.3333333333333333,0.7368421052631579,0.7142857142857143
A027,2,0.5833333333333334,0.5263157894736842,0.6428571428571429
A027,3,0.25,0.3684210526315789,0.5
A027,4,0.25,0.5789473684210527,0.5
A028,1,0.8333333333333334,0.8947368421052632,0.6428571428571429
A028,2,0.5833333333333334,0.5263157894736842,0.5
A028,3,0.4166666666666667,0.6842105263157895,0.5
A028,4,0.3333333333333333,0.47368421052631576,0.2857142857142857
A029,1,1.0,0.7894736842105263,0.7857142857142857
A029,2,0.5,0.6842105263157895,0.6428571428571429
A029,3,0.75,0.7368421052631579,0.7857142857142857
A029,4,0.6666666666666666,0.5789473684210527,0.6428571428571429
A030,1,0.3333333333333333,0.5789473684210527,0.5714285714285714
A030,2,0.6666666666666666,0.7368421052631579,0.6428571428571429
A030,3,0.4166666666666667,0.5789473684210527,0.6428571428571429
A030,4,0.6666666666666666,0.5789473684210527,0.7142857142857143
A031,1,0.8333333333333334,0.7894736842105263,0.8571428571428571
A031,2,0.25,0.631578947368421,0.5714285714285714
A031,3,0.3333333333333333,0.5789473684210527,0.5
A031,4,0.25,0.3157894736842105,0.35714285714285715
A032,1,0.5833333333333334,0.631578947368421,0.6428571428571429
A032,2,0.4166666666666667,0.47368421052631576,0.35714285714285715
A032,3,0.5833333333333334,0.5789473684210527,0.6428571428571429
A032,4,0.9166666666666666,0.7368421052631579,0.6428571428571429
A033,1,0.5,0.5263157894736842,0.42857142857142855
A033,2,0.3333333333333333,0.6842105263157895,0.5
A033,3,0.6666666666666666,0.631578947368421,0.6428571428571429
A033,4,0.5,0.5263157894736842,0.5
A034,1,0.75,0.8421052631578947,0.9285714285714286
A034,2,0.75,0.7368421052631579,0.6428571428571429
A034,3,0.5,0.631578947368421,0.5714285714285714
A034,4,0.3333333333333333,0.5263157894736842,0.5
A035,1,0.25,0.47368421052631576,0.35714285714285715
A035,2,0.5833333333333334,0.631578947368421,0.6428571428571429
A035,3,0.3333333333333333,0.47368421052631576,0.5
A035,4,0.25,0.42105263157894735,0.21428571428571427
A036,1,0.5,0.7368421052631579,0.7857142857142857
A036,2,0.4166666666666667,0.47368421052631576,0.42857142857142855
