UID,test,CTT_full_IFR,CTT_full_ICR,CTT_full_IRE
A010,T1,0.7083333333333334,0.9166666666666666,0.875
A010,T2,0.2916666666666667,0.625,0.6666666666666666
A010,T3,0.2916666666666667,0.5,0.5
A010,T4,0.375,0.625,0.625
A011,T1,0.6666666666666666,0.5416666666666666,0.625
A011,T2,0.5833333333333334,0.7083333333333334,0.625
A011,T3,0.4583333333333333,0.5,0.4166666666666667
A011,T4,0.3333333333333333,0.375,0.5833333333333334
A012,T1,0.6666666666666666,0.5833333333333334,0.6666666666666666
A012,T2,0.3333333333333333,0.5833333333333334,0.4166666666666667
A012,T3,0.5,0.4583333333333333,0.5416666666666666
A012,T4,0.3333333333333333,0.2916666666666667,0.4166666666666667
A013,T1,0.4166666666666667,0.625,0.5833333333333334
A013,T2,0.5416666666666666,0.375,0.5
A013,T3,0.4166666666666667,0.5833333333333334,0.625
A013,T4,0.2916666666666667,0.2916666666666667,0.5833333333333334
A014,T1,0.375,0.75,0.625
A014,T2,0.5833333333333334,0.5416666666666666,0.6666666666666666
A014,T3,0.4166666666666667,0.5833333333333334,0.4583333333333333
A014,T4,0.3333333333333333,0.2916666666666667,0.4583333333333333
A015,T1,0.625,0.7083333333333334,0.75
A015,T2,0.5,0.7916666666666666,0.625
A015,T3,0.6666666666666666,0.7083333333333334,0.5833333333333334
A015,T4,0.4583333333333333,0.625,0.625
A016,T1,0.75,0.625,0.625
A016,T2,0.5,0.625,0.7083333333333334
A016,T3,0.2916666666666667,0.4583333333333333,0.4583333333333333
A016,T4,0.20833333333333334,0.20833333333333334,0.4166666666666667
A017,T1,0.4583333333333333,0.4583333333333333,0.4583333333333333
A017,T2,0.5416666666666666,0.625,0.5416666666666666
A017,T3,0.375,0.5416666666666666,0.5
A017,T4,0.375,0.625,0.5833333333333334
A018,T1,0.4166666666666667,0.7083333333333334,0.75
A018,T2,0.4166666666666667,0.5416666666666666,0.5833333333333334
A018,T3,0.3333333333333333,0.5416666666666666,0.5
A018,T4,0.3333333333333333,0.5,0.5416666666666666
A019,T1,0.4583333333333333,0.4166666666666667,0.3333333333333333
A019,T2,0.2916666666666667,0.3333333333333333,0.4166666666666667
A019,T3,0.3333333333333333,0.375,0.4166666666666667
A019,T4,0.4583333333333333,0.4583333333333333,0.3333333333333333
A020,T1,0.4583333333333333,0.4166666666666667,0.4583333333333333
A020,T2,0.20833333333333334,0.375,0.7083333333333334
A020,T3,0.3333333333333333,0.3333333333333333,0.5416666666666666
A020,T4,0.20833333333333334,0.16666666666666666,0.2916666666666667
A021,T1,0.625,0.6666666666666666,0.625
A021,T2,0.5,0.5833333333333334,0.4166666666666667
A021,T3,0.4166666666666667,0.5,0.5
A021,T4,0.4166666666666667,0.5,0.5
A022,T1,0.5,0.5416666666666666,0.5
A022,T2,0.4583333333333333,0.625,0.6666666666666666
A022,T3,0.4166666666666667,0.5833333333333334,0.5416666666666666
A022,T4,0.4166666666666667,0.5833333333333334,0.625
A023,T1,0.2916666666666667,0.6666666666666666,0.7083333333333334
A023,T2,0.3333333333333333,0.5,0.5416666666666666
A023,T3,0.375,0.5416666666666666,0.5416666666666666
A023,T4,0.3333333333333333,0.4583333333333333,0.5416666666666666
A024,T1,0.5833333333333334,0.5,0.625
A024,T2,0.3333333333333333,0.625,0.5416666666666666
A024,T3,0.4166666666666667,0.375,0.5416666666666666
A024,T4,0.4166666666666667,0.2916666666666667,0.2916666666666667
A025,T1,0.7083333333333334,0.7083333333333334,0.75
A025,T2,0.625,0.7083333333333334,0.5833333333333334
A025,T3,0.5,0.4166666666666667,0.5833333333333334
A025,T4,0.08333333333333333,0.3333333333333333,0.6666666666666666
A026,T1,0.375,0.7083333333333334,0.7083333333333334
A026,T2,0.375,0.5,0.4583333333333333
A026,T3,0.5,0.5833333333333334,0.6666666666666666
A026,T4,0.5,0.5,0.4583333333333333
A027,T1,0.5,0.6666666666666666,0.6666666666666666
A027,T2,0.4583333333333333,0.5,0.6666666666666666
A027,T3,0.16666666666666666,0.375,0.5416666666666666
A027,T4,0.20833333333333334,0.5416666666666666,0.5416666666666666
A028,T1,0.625,0.8333333333333334,0.75
A028,T2,0.5,0.4583333333333333,0.5
A028,T3,0.2916666666666667,0.625,0.6666666666666666
A028,T4,0.4166666666666667,0.5,0.4583333333333333
A029,T1,0.75,0.7083333333333334,0.6666666666666666
A029,T2,0.3333333333333333,0.6666666666666666,0.6666666666666666
A029,T3,0.5833333333333334,0.6666666666666666,0.7083333333333334
A029,T4,0.5,0.5833333333333334,0.625
A030,T1,0.375,0.5833333333333334,0.5833333333333334
A030,T2,0.5833333333333334,0.6666666666666666,0.6666666666666666
A030,T3,0.3333333333333333,0.5416666666666666,0.625
A030,T4,0.375,0.5833333333333334,0.625
A031,T1,0.7083333333333334,0.75,0.7916666666666666
A031,T2,0.2916666666666667,0.5833333333333334,0.5833333333333334
A031,T3,0.25,0.5416666666666666,0.5
A031,T4,0.2916666666666667,0.2916666666666667,0.4583333333333333
A032,T1,0.4583333333333333,0.5833333333333334,0.5416666666666666
A032,T2,0.2916666666666667,0.4583333333333333,0.4166666666666667
A032,T3,0.5833333333333334,0.5833333333333334,0.625
A032,T4,0.5416666666666666,0.6666666666666666,0.7083333333333334
A033,T1,0.4166666666666667,0.5416666666666666,0.5
A033,T2,0.3333333333333333,0.7083333333333334,0.625
A033,T3,0.4583333333333333,0.625,0.5833333333333334
A033,T4,0.375,0.5833333333333334,0.6666666666666666
A034,T1,0.75,0.7916666666666666,0.7916666666666666
A034,T2,0.625,0.6666666666666666,0.6666666666666666
A034,T3,0.4583333333333333,0.5416666666666666,0.5833333333333334
A034,T4,0.2916666666666667,0.5,0.5416666666666666
A035,T1,0.3333333333333333,0.4583333333333333,0.5416666666666666
A035,T2,0.3333333333333333,0.625,0.6666666666666666
A035,T3,0.2916666666666667,0.4583333333333333,0.5416666666666666
A035,T4,0.25,0.375,0.375
A036,T1,0.5833333333333334,0.6666666666666666,0.75
A036,T2,0.375,0.4583333333333333,0.5
A036,T3,0.375,0.4583333333333333,0.5416666666666666
A036,T4,0.25,0.3333333333333333,0.4583333333333333
A037,T1,0.5833333333333334,0.625,0.6666666666666666
A037,T2,0.5,0.75,0.7083333333333334
A037,T3,0.5833333333333334,0.5416666666666666,0.5833333333333334
A037,T4,0.2916666666666667,0.4583333333333333,0.4166666666666667
A038,T1,0.4583333333333333,0.7083333333333334,0.625
A038,T2,0.4583333333333333,0.4583333333333333,0.4166666666666667
A038,T3,0.7083333333333334,0.625,0.75
A038,T4,0.5,0.5416666666666666,0.6666666666666666
A039,T1,0.875,0.7916666666666666,0.7083333333333334
A039,T2,0.5833333333333334,0.75,0.75
A039,T3,0.5416666666666666,0.625,0.5833333333333334
A039,T4,0.4166666666666667,0.5833333333333334,0.625
A040,T1,0.375,0.4583333333333333,0.4166666666666667
A040,T2,0.5,0.5833333333333334,0.5
A040,T3,0.2916666666666667,0.2916666666666667,0.5
A040,T4,0.375,0.16666666666666666,0.3333333333333333
A041,T1,0.5416666666666666,0.625,0.6666666666666666
A041,T2,0.25,0.375,0.4166666666666667
A041,T3,0.4583333333333333,0.5416666666666666,0.6666666666666666
A041,T4,0.375,0.4583333333333333,0.4166666666666667
A042,T1,0.08333333333333333,0.4583333333333333,0.3333333333333333
A042,T2,0.3333333333333333,0.5,0.3333333333333333
A042,T3,0.25,0.4166666666666667,0.5416666666666666
A042,T4,0.3333333333333333,0.3333333333333333,0.4166666666666667
A043,T1,0.5416666666666666,0.625,0.6666666666666666
A043,T2,0.5416666666666666,0.5833333333333334,0.5833333333333334
A043,T3,0.5833333333333334,0.6666666666666666,0.7083333333333334
A043,T4,0.5416666666666666,0.4583333333333333,0.4583333333333333
A044,T1,0.2916666666666667,0.5,0.5416666666666666
A044,T2,0.375,0.3333333333333333,0.5416666666666666
A044,T3,0.2916666666666667,0.20833333333333334,0.375
A044,T4,0.2916666666666667,0.375,0.375
A045,T1,0.5,0.4583333333333333,0.625
A045,T2,0.5,0.3333333333333333,0.4583333333333333
A045,T3,0.4166666666666667,0.4166666666666667,0.375
A045,T4,0.20833333333333334,0.3333333333333333,0.4583333333333333
A046,T1,0.3333333333333333,0.3333333333333333,0.5833333333333334
A046,T2,0.3333333333333333,0.3333333333333333,0.3333333333333333
A046,T3,0.2916666666666667,0.08333333333333333,0.16666666666666666
A046,T4,0.375,0.25,0.125
A047,T1,0.3333333333333333,0.4583333333333333,0.4583333333333333
A047,T2,0.4166666666666667,0.4166666666666667,0.4166666666666667
A047,T3,0.2916666666666667,0.375,0.4166666666666667
A047,T4,0.2916666666666667,0.2916666666666667,0.5416666666666666
A048,T1,0.5833333333333334,0.7083333333333334,0.6666666666666666
A048,T2,0.25,0.5416666666666666,0.6666666666666666
A048,T3,0.5416666666666666,0.5416666666666666,0.6666666666666666
A048,T4,0.4166666666666667,0.6666666666666666,0.5833333333333334
A049,T1,0.7083333333333334,0.8333333333333334,0.7916666666666666
A049,T2,0.375,0.4166666666666667,0.375
A049,T3,0.5,0.5416666666666666,0.5833333333333334
A049,T4,0.5416666666666666,0.5833333333333334,0.5833333333333334
A050,T1,0.3333333333333333,0.5,0.5833333333333334
A050,T2,0.4166666666666667,0.4583333333333333,0.5
A050,T3,0.20833333333333334,0.2916666666666667,0.4583333333333333
A050,T4,0.375,0.4166666666666667,0.4583333333333333
A051,T1,0.5416666666666666,0.8333333333333334,0.75
A051,T2,0.375,0.5416666666666666,0.5
A051,T3,0.375,0.4583333333333333,0.5416666666666666
A051,T4,0.4166666666666667,0.5,0.5
A052,T1,0.5,0.7083333333333334,0.5833333333333334
A052,T2,0.625,0.625,0.5833333333333334
A052,T3,0.4583333333333333,0.4583333333333333,0.5416666666666666
A052,T4,0.4166666666666667,0.20833333333333334,0.375
A053,T1,0.5416666666666666,0.75,0.625
A053,T2,0.4166666666666667,0.7083333333333334,0.5833333333333334
A053,T3,0.25,0.5,0.5
A053,T4,0.4583333333333333,0.4583333333333333,0.5416666666666666
A054,T1,0.4166666666666667,0.6666666666666666,0.625
A054,T2,0.5416666666666666,0.5833333333333334,0.5833333333333334
A054,T3,0.4583333333333333,0.6666666666666666,0.5416666666666666
A054,T4,0.6666666666666666,0.6666666666666666,0.75
A055,T1,0.5416666666666666,0.6666666666666666,0.5416666666666666
A055,T2,0.375,0.5833333333333334,0.6666666666666666
A055,T3,0.2916666666666667,0.5833333333333334,0.3333333333333333
A055,T4,0.3333333333333333,0.3333333333333333,0.3333333333333333
A056,T1,0.5,0.5833333333333334,0.625
A056,T2,0.3333333333333333,0.4583333333333333,0.4583333333333333
A056,T3,0.3333333333333333,0.5833333333333334,0.5833333333333334
A056,T4,0.16666666666666666,0.3333333333333333,0.4166666666666667
A057,T1,0.3333333333333333,0.5416666666666666,0.5
A057,T2,0.3333333333333333,0.3333333333333333,0.4166666666666667
A057,T3,0.2916666666666667,0.375,0.4166666666666667
A057,T4,0.3333333333333333,0.2916666666666667,0.2916666666666667
A058,T1,0.5,0.6666666666666666,0.75
A058,T2,0.25,0.5,0.4166666666666667
A058,T3,0.5,0.5,0.5416666666666666
A058,T4,0.20833333333333334,0.4166666666666667,0.4583333333333333
A059,T1,0.5833333333333334,0.75,0.75
A059,T2,0.5833333333333334,0.6666666666666666,0.75
A059,T3,0.4583333333333333,0.6666666666666666,0.625
A059,T4,0.4583333333333333,0.4583333333333333,0.5833333333333334
A060,T1,0.5,0.5,0.5833333333333334
A060,T2,0.5416666666666666,0.625,0.6666666666666666
A060,T3,0.375,0.4583333333333333,0.625
A060,T4,0.4166666666666667,0.5,0.4583333333333333
A061,T1,0.75,0.9166666666666666,0.9166666666666666
A061,T2,0.4583333333333333,0.7083333333333334,0.6666666666666666
A061,T3,0.5416666666666666,0.5,0.5833333333333334
A061,T4,0.5,0.375,0.5416666666666666
A062,T1,0.5,0.7083333333333334,0.6666666666666666
A062,T2,0.5416666666666666,0.5,0.7083333333333334
A062,T3,0.3333333333333333,0.3333333333333333,0.3333333333333333
A062,T4,0.125,0.3333333333333333,0.4166666666666667
A063,T1,0.5,0.625,0.625
A063,T2,0.375,0.75,0.7083333333333334
A063,T3,0.2916666666666667,0.4583333333333333,0.5833333333333334
A063,T4,0.25,0.375,0.5
A064,T1,0.75,0.8333333333333334,0.875
A064,T2,0.5416666666666666,0.625,0.625
A064,T3,0.4583333333333333,0.6666666666666666,0.5416666666666666
A064,T4,0.3333333333333333,0.4166666666666667,0.375
A065,T1,0.25,0.20833333333333334,0.3333333333333333
A065,T2,0.375,0.5,0.5
A065,T3,0.3333333333333333,0.25,0.3333333333333333
A065,T4,0.16666666666666666,0.16666666666666666,0.20833333333333334
A066,T1,0.4583333333333333,0.4583333333333333,0.4583333333333333
A066,T2,0.4166666666666667,0.4583333333333333,0.5
A066,T3,0.375,0.3333333333333333,0.375
A066,T4,0.25,0.2916666666666667,0.375
A067,T1,0.375,0.5,0.5833333333333334
