UID,test,location_type,irt_theta,ctt_mean_score
A010,1,destination,2.010915,0.8666666666666667
A010,2,destination,1.0975147,0.65
A010,3,destination,-1.186541,0.1833333333333333
A010,4,destination,-0.4293288,0.2
A011,1,destination,1.1835473,0.6833333333333333
A011,2,destination,0.07751111,0.4333333333333333
A011,3,destination,-0.5014456,0.4166666666666667
A011,4,destination,-0.84890825,0.2666666666666666
A012,1,destination,0.33868304,0.4333333333333333
A012,2,destination,-1.1255839,0.2666666666666666
A012,3,destination,0.09193352,0.35
A012,4,destination,-0.9537699,0.35
A013,1,destination,-0.035398606,0.45
A013,2,destination,-0.3057711,0.5166666666666667
A013,3,destination,0.9779469,0.55
A013,4,destination,-0.066024296,0.5
A014,1,destination,0.7553257,0.5166666666666667
A014,2,destination,-0.4665811,0.3333333333333333
A014,3,destination,0.12054519,0.4166666666666667
A014,4,destination,-0.5400671,0.3666666666666666
A015,1,destination,1.0023323,0.6
A015,2,destination,1.4194467,0.7666666666666667
A015,3,destination,0.24626894,0.4
A015,4,destination,-0.43521827,0.4166666666666667
A016,1,destination,1.7207321,0.5833333333333334
A016,2,destination,1.479976,0.6666666666666666
A016,3,destination,-0.6975632,0.1833333333333333
A016,4,destination,-0.8562173,0.35
A017,1,destination,-0.15520337,0.3
A017,2,destination,0.41041905,0.3666666666666666
A017,3,destination,0.22881152,0.3833333333333333
A017,4,destination,-0.7611534,0.2
A018,1,destination,1.5116286,0.6
A018,2,destination,0.4516168,0.4666666666666667
A018,3,destination,-0.5255531,0.2833333333333333
A018,4,destination,-0.6034264,0.4
A019,1,destination,-1.1137557,0.25
A019,2,destination,0.2184492,0.3666666666666666
A019,3,destination,-0.34441203,0.35
A019,4,destination,-0.9084577,0.3
A020,1,destination,-0.39048332,0.2333333333333333
A020,2,destination,0.15357906,0.4166666666666667
A020,3,destination,-0.33567235,0.4666666666666667
A020,4,destination,-1.1523182,0.3333333333333333
A021,1,destination,0.64160866,0.5
A021,2,destination,0.47721207,0.5166666666666667
A021,3,destination,-0.59433186,0.3666666666666666
A021,4,destination,-0.99789435,0.2333333333333333
A022,1,destination,-0.42679092,0.4333333333333333
A022,2,destination,-0.60329264,0.3666666666666666
A022,3,destination,-0.09910751,0.45
A022,4,destination,-0.08970222,0.3333333333333333
A023,1,destination,0.1930206,0.5833333333333334
A023,2,destination,0.101476,0.5
A023,3,destination,-0.27825373,0.4
A023,4,destination,0.92574984,0.6833333333333333
A024,1,destination,-0.26954484,0.35
A024,2,destination,-0.57454836,0.25
A024,3,destination,0.0074428213,0.5666666666666667
A024,4,destination,-0.940981,0.35
A025,1,destination,0.05380287,0.4666666666666667
A025,2,destination,1.5041252,0.7166666666666667
A025,3,destination,-0.27671874,0.4666666666666667
A025,4,destination,-0.14176248,0.3333333333333333
A026,1,destination,1.0732766,0.65
A026,2,destination,0.63977706,0.4666666666666667
A026,3,destination,0.61266387,0.6333333333333333
A026,4,destination,-0.2835504,0.65
A027,1,destination,0.52744526,0.6666666666666666
A027,2,destination,1.2530484,0.5833333333333334
A027,3,destination,-0.48801902,0.4166666666666667
A027,4,destination,0.38854283,0.5
A028,1,destination,1.5729234,0.85
A028,2,destination,0.35054204,0.4333333333333333
A028,3,destination,0.36001632,0.4166666666666667
A028,4,destination,-0.4464555,0.4833333333333333
A029,1,destination,1.7540342,0.7666666666666667
A029,2,destination,0.9775655,0.5666666666666667
A029,3,destination,0.37505868,0.5
A029,4,destination,1.0688435,0.6333333333333333
A030,1,destination,-0.5316837,0.3833333333333333
A030,2,destination,1.5800109,0.5833333333333334
A030,3,destination,0.7544972,0.55
A030,4,destination,0.12028915,0.4166666666666667
A031,1,destination,1.4608339,0.7833333333333333
A031,2,destination,-0.6116699,0.3833333333333333
A031,3,destination,-0.31054813,0.3
A031,4,destination,-0.8304748,0.35
A032,1,destination,-0.66399795,0.2333333333333333
A032,2,destination,-0.2995187,0.35
A032,3,destination,0.80790555,0.5333333333333333
A032,4,destination,1.2733109,0.6333333333333333
A033,1,destination,-0.8207058,0.3666666666666666
A033,2,destination,0.05391906,0.55
A033,3,destination,0.01400444,0.3333333333333333
A033,4,destination,-1.3077472,0.2
A034,1,destination,1.5448427,0.7166666666666667
A034,2,destination,1.3082612,0.5666666666666667
A034,3,destination,-1.1147809,0.1
A034,4,destination,-0.6969951,0.2666666666666666
A035,1,destination,0.30524516,0.3
A035,2,destination,-0.05189664,0.45
A035,3,destination,-0.003024264,0.4166666666666667
A035,4,destination,-1.0853919,0.1833333333333333
A036,1,destination,1.3103865,0.7333333333333333
A036,2,destination,-0.8839064,0.2166666666666666
A036,3,destination,-0.5670363,0.3833333333333333
A036,4,destination,-0.9257591,0.3166666666666666
A037,1,destination,-0.37298724,0.4166666666666667
A037,2,destination,0.8601754,0.6
A037,3,destination,0.52264977,0.6
A037,4,destination,-0.7062983,0.4
A038,1,destination,1.0395416,0.5833333333333334
A038,2,destination,-0.28525016,0.5166666666666667
A038,3,destination,0.56079465,0.4
A038,4,destination,-0.17457396,0.3666666666666666
A039,1,destination,1.7322454,0.75
A039,2,destination,1.3414384,0.9
A039,3,destination,0.9721396,0.45
A039,4,destination,1.2233254,0.6666666666666666
A040,1,destination,-0.9852747,0.3
A040,2,destination,0.88222194,0.55
A040,3,destination,-0.9794845,0.2166666666666666
A040,4,destination,-1.104057,0.3
A041,1,destination,0.22410686,0.5666666666666667
A041,2,destination,-0.6096121,0.3166666666666666
A041,3,destination,1.0298018,0.8
A041,4,destination,-0.39342585,0.2666666666666666
A042,1,destination,-1.0510693,0.3333333333333333
A042,2,destination,-0.29213598,0.5
A042,3,destination,0.27557984,0.5
A042,4,destination,-0.4915242,0.4666666666666667
A043,1,destination,0.49942693,0.65
A043,2,destination,0.4424877,0.4666666666666667
A043,3,destination,0.3511134,0.6166666666666667
A043,4,destination,-0.25678244,0.2833333333333333
A044,1,destination,1.1713588,0.6666666666666666
A044,2,destination,0.16294117,0.5166666666666667
A044,3,destination,-1.3014706,0.2666666666666666
A044,4,destination,-1.0086085,0.35
A045,1,destination,0.16803594,0.5333333333333333
A045,2,destination,-0.48629287,0.4166666666666667
A045,3,destination,-0.9015519,0.2333333333333333
A045,4,destination,-0.6140947,0.4166666666666667
A046,1,destination,-0.82893044,0.2333333333333333
A046,2,destination,-1.229845,0.1666666666666666
A046,3,destination,-0.9712328,0.3833333333333333
A046,4,destination,-0.8551873,0.2666666666666666
A047,1,destination,-0.9314449,0.25
A047,2,destination,0.0011731267,0.5166666666666667
A047,3,destination,-0.31743395,0.55
A047,4,destination,0.5841509,0.6166666666666667
A048,1,destination,1.7055423,0.7333333333333333
A048,2,destination,-0.21394376,0.3333333333333333
A048,3,destination,0.59561753,0.5833333333333334
A048,4,destination,0.05674492,0.4833333333333333
A049,1,destination,0.7261273,0.6
A049,2,destination,-0.3937213,0.3833333333333333
A049,3,destination,0.6229021,0.45
A049,4,destination,1.4647734,0.7333333333333333
A050,1,destination,-0.91308653,0.2833333333333333
A050,2,destination,-0.0066963215,0.45
A050,3,destination,-0.35299146,0.3
A050,4,destination,0.8914575,0.5333333333333333
A051,1,destination,1.8028108,0.8333333333333334
A051,2,destination,0.049381785,0.5666666666666667
A051,3,destination,0.1110302,0.55
A051,4,destination,0.03827322,0.4833333333333333
A052,1,destination,-0.4868811,0.3666666666666666
A052,2,destination,0.9826763,0.5166666666666667
A052,3,destination,-0.23479229,0.3666666666666666
A052,4,destination,0.060775243,0.5666666666666667
A053,1,destination,0.830601,0.6
A053,2,destination,0.35691914,0.5833333333333334
A053,3,destination,-0.111180075,0.4166666666666667
A053,4,destination,-0.24006987,0.3666666666666666
A054,1,destination,0.4994956,0.4166666666666667
A054,2,destination,-0.12840416,0.3666666666666666
A054,3,destination,-0.02643241,0.3333333333333333
A054,4,destination,0.17176248,0.4666666666666667
A055,1,destination,-0.5361741,0.4833333333333333
A055,2,destination,0.75660616,0.5166666666666667
A055,3,destination,0.83208466,0.6833333333333333
A055,4,destination,0.1528813,0.4666666666666667
A056,1,destination,0.7468591,0.6
