item_code,location_type
TQ_ICR-D-i1,destination
TQ_ICR-D-i2,destination
TQ_ICR-D-i3,destination
TQ_ICR-D-i4,destination
TQ_ICR-D-i5,destination
TQ_ICR-D-i6,destination
TQ_ICR-U-i1,source
TQ_ICR-U-i2,source
TQ_ICR-U-i3,source
TQ_ICR-U-i4,source
TQ_ICR-U-i5,source
TQ_ICR-U-i6,source
TQ_IFR-D-i2,destination
TQ_IFR-D-i3,destination
TQ_IFR-D-i5,destination
TQ_IFR-D-i6,destination
TQ_IFR-U-i1,source
TQ_IFR-U-i2,source
TQ_IFR-U-i3,source
TQ_IFR-U-i5,source
TQ_IFR-U-i6,source
TQ_IRE-D-i1,destination
TQ_IRE-D-i2,destination
TQ_IRE-D-i3,destination
TQ_IRE-D-i5,destination
TQ_IRE-D-i6,destination
TQ_IRE-U-i1,source
TQ_IRE-U-i2,source
TQ_IRE-U-i3,source
TQ_IRE-U-i4,source
TQ_IRE-U-i5,source
TQ_IRE-U-i6,source
