term,irt_coef,irt_se,irt_p_uncorrected,irt_p_bonferroni,ctt_coef,ctt_se,ctt_p_uncorrected,ctt_p_bonferroni,sign_match,sig_match,agreement
Intercept,0.6532172695700038,0.0944201864993935,4.574341107376369e-12,1.8297364429505476e-11,0.8290373602706641,0.0185170344914589,0.0,0.0,True,True,True
"C(location_type, Treatment('source'))[T.destination]",-0.1229736614448972,0.101690442169343,0.2265498400991656,0.9061993603966624,-0.2881981211249511,0.0229549231029031,3.733740473776832e-36,1.4934961895107327e-35,True,False,False
log_TSVR,-0.2011259203206038,0.0216209982194646,1.3738551919108583e-20,5.495420767643433e-20,-0.0428637172448555,0.0043645810878074,9.160540893073668e-23,3.664216357229467e-22,True,True,True
"C(location_type, Treatment('source'))[T.destination]:log_TSVR",0.0499047947099949,0.0271395396013474,0.065941305041839,0.263765220167356,0.0169164807526318,0.0061262989058468,0.0057573734741761,0.0230294938967044,True,False,False
