location_type,r,CI_lower,CI_upper,p_uncorrected,n,p_holm,threshold_0.70,threshold_0.90
source,0.9439063385608535,0.9321242462720303,0.9536922744715121,1.2790864123207718e-193,400,3.837259236962315e-193,True,True
destination,0.8714832396254373,0.8456966637424934,0.8932097977552881,3.2293871312096893e-125,400,3.2293871312096893e-125,True,False
Overall,0.7464191257359303,0.7140479614042069,0.775605464041763,2.7359858451508748e-143,800,5.4719716903017495e-143,True,False
