composite_ID,UID,test,TQ_ICR-D-i1,TQ_ICR-D-i2,TQ_ICR-D-i3,TQ_ICR-D-i4,TQ_ICR-D-i5,TQ_ICR-D-i6,TQ_ICR-U-i1,TQ_ICR-U-i2,TQ_ICR-U-i3,TQ_ICR-U-i4,TQ_ICR-U-i5,TQ_ICR-U-i6,TQ_IFR-D-i2,TQ_IFR-D-i3,TQ_IFR-D-i5,TQ_IFR-D-i6,TQ_IFR-U-i1,TQ_IFR-U-i2,TQ_IFR-U-i3,TQ_IFR-U-i5,TQ_IFR-U-i6,TQ_IRE-D-i1,TQ_IRE-D-i2,TQ_IRE-D-i3,TQ_IRE-D-i5,TQ_IRE-D-i6,TQ_IRE-U-i1,TQ_IRE-U-i2,TQ_IRE-U-i3,TQ_IRE-U-i4,TQ_IRE-U-i5,TQ_IRE-U-i6
A010_1,A010,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A010_2,A010,2,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.0
A010_3,A010,3,0.0,0.25,0.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.25,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0
A010_4,A010,4,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
A011_1,A011,1,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
A011_2,A011,2,1.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.5,0.5,1.0,0.0,0.25,1.0,0.0,1.0,1.0,0.25,1.0,0.5,1.0
A011_3,A011,3,1.0,0.25,1.0,1.0,0.0,0.0,0.25,0.0,1.0,0.5,0.25,1.0,0.25,1.0,0.0,0.0,0.25,0.0,1.0,0.25,1.0,1.0,0.25,0.5,0.0,0.0,0.25,0.0,1.0,0.5,0.25,1.0
A011_4,A011,4,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.25,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.25,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
A012_1,A012,1,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A012_2,A012,2,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
