term,coef,std_err,z,p_value,ci_lower,ci_upper
Intercept,0.6532172695700038,0.0944201864993935,6.918195078699614,4.574341107376369e-12,0.4681571046176375,0.8382774345223701
"C(location_type, Treatment('source'))[T.destination]",-0.1229736614448972,0.10169044216934305,-1.209294195418205,0.22654984009916568,-0.32228326566876275,0.07633594277896834
log_TSVR,-0.2011259203206038,0.02162099821946462,-9.302342023206739,1.3738551919108583e-20,-0.2435022981405591,-0.15874954250064852
"C(location_type, Treatment('source'))[T.destination]:log_TSVR",0.049904794709994926,0.027139539601347448,1.8388224503085235,0.06594130504183901,-0.0032877254656446114,0.10309731488563446
