composite_ID,UID,test,location_type,ctt_mean_score,n_items,TSVR_hours
A024_4,A024,4,source,0.27941176470588236,17,145.65
A025_1,A025,1,destination,0.4666666666666667,15,1.0
A025_1,A025,1,source,0.8676470588235294,17,1.0
A025_2,A025,2,destination,0.7166666666666667,15,23.33
A025_2,A025,2,source,0.9411764705882353,17,23.33
A025_3,A025,3,destination,0.4666666666666667,15,72.94
A025_3,A025,3,source,0.7647058823529411,17,72.94
A025_4,A025,4,destination,0.3333333333333333,15,137.74
A025_4,A025,4,source,0.6323529411764706,17,137.74
A026_1,A026,1,destination,0.65,15,1.0
A026_1,A026,1,source,0.8235294117647058,17,1.0
A026_2,A026,2,destination,0.4666666666666667,15,26.48
A026_2,A026,2,source,0.5735294117647058,17,26.48
A026_3,A026,3,destination,0.6333333333333333,15,75.46
A026_3,A026,3,source,0.8970588235294118,17,75.46
A026_4,A026,4,destination,0.65,15,147.65
A026_4,A026,4,source,0.5882352941176471,17,147.65
A027_1,A027,1,destination,0.6666666666666666,15,1.0
A027_1,A027,1,source,0.7941176470588235,17,1.0
A027_2,A027,2,destination,0.5833333333333334,15,28.26
A027_2,A027,2,source,0.8088235294117647,17,28.26
A027_3,A027,3,destination,0.4166666666666667,15,74.58
A027_3,A027,3,source,0.5588235294117647,17,74.58
A027_4,A027,4,destination,0.5,15,145.92
A027_4,A027,4,source,0.5735294117647058,17,145.92
A028_1,A028,1,destination,0.85,15,1.0
A028_1,A028,1,source,0.8529411764705882,17,1.0
A028_2,A028,2,destination,0.43333333333333335,15,22.82
A028_2,A028,2,source,0.75,17,22.82
A028_3,A028,3,destination,0.4166666666666667,15,72.26
A028_3,A028,3,source,0.7352941176470589,17,72.26
A028_4,A028,4,destination,0.48333333333333334,15,138.91
A028_4,A028,4,source,0.35294117647058826,17,138.91
A029_1,A029,1,destination,0.7666666666666667,15,1.0
A029_1,A029,1,source,1.0,17,1.0
A029_2,A029,2,destination,0.5666666666666667,15,28.43
A029_2,A029,2,source,0.75,17,28.43
A029_3,A029,3,destination,0.5,15,93.26
A029_3,A029,3,source,0.9411764705882353,17,93.26
A029_4,A029,4,destination,0.6333333333333333,15,143.14
A029_4,A029,4,source,0.7647058823529411,17,143.14
A030_1,A030,1,destination,0.38333333333333336,15,1.0
A030_1,A030,1,source,0.8529411764705882,17,1.0
A030_2,A030,2,destination,0.5833333333333334,15,32.95
A030_2,A030,2,source,0.9411764705882353,17,32.95
