comparison,predictor,model1,model2,beta_diff,ci_lower,ci_upper,p_uncorrected,p_bonferroni,p_fdr,effect_size,effect_interpretation,direction,significant_bonferroni,significant_fdr,n_bootstrap_successful
confidence_vs_accuracy_depression,z_Dep,confidence,theta_accuracy,0.023836308006833395,-0.27028967003755694,0.2963022374035487,0.932,1.0,0.932,0.023836308006833395,negligible,confidence > theta_accuracy,False,False,1000
calibration_vs_accuracy_depression,z_Dep,calibration,theta_accuracy,0.09772814517870133,-0.19374744401785393,0.3128793318799863,0.58,1.0,0.9025714285714285,0.09772814517870133,negligible,calibration > theta_accuracy,False,False,1000
confidence_vs_calibration_depression,z_Dep,confidence,calibration,-0.07389183717186794,-0.3342030791281651,0.21862935833057162,0.702,1.0,0.9025714285714285,0.07389183717186794,negligible,calibration > confidence,False,False,1000
confidence_vs_accuracy_anxiety,z_Anx,confidence,theta_accuracy,0.10816592328585246,-0.17295476905232227,0.420194863284077,0.494,1.0,0.9025714285714285,0.10816592328585246,small,confidence > theta_accuracy,False,False,1000
calibration_vs_accuracy_anxiety,z_Anx,calibration,theta_accuracy,-0.004441771224819729,-0.32256351931936633,0.2731346257360547,0.888,1.0,0.932,0.004441771224819729,negligible,theta_accuracy > calibration,False,False,1000
confidence_vs_calibration_anxiety,z_Anx,confidence,calibration,0.1126076945106722,-0.20520769602929595,0.40288376765502704,0.452,1.0,0.9025714285714285,0.1126076945106722,small,confidence > calibration,False,False,1000
confidence_vs_accuracy_stress,z_Str,confidence,theta_accuracy,-0.19201540170863052,-0.5629239282304639,0.14241009800473625,0.294,1.0,0.9025714285714285,0.19201540170863052,small,theta_accuracy > confidence,False,False,1000
calibration_vs_accuracy_stress,z_Str,calibration,theta_accuracy,-0.28504548415328446,-0.5955849218036836,0.008840502652357841,0.066,0.5940000000000001,0.5940000000000001,0.28504548415328446,small,theta_accuracy > calibration,False,False,1000
confidence_vs_calibration_stress,z_Str,confidence,calibration,0.09303008244465394,-0.3036685805076056,0.4311437218906683,0.628,1.0,0.9025714285714285,0.09303008244465394,negligible,confidence > calibration,False,False,1000
