model,cohens_f2,f2_ci_lower,f2_ci_upper,power_observed,min_detectable_f2,power_80pct,effect_interpretation
accuracy_model,0.053705619480219687,0.033648349825772125,0.07535708332716616,0.171605967350289,0.1817224609375,0.8,Small
calibration_model,0.0358915994411025,0.016500536083831837,0.05680990246429151,0.09314068785848595,0.1817224609375,0.8,Small
confidence_model,0.04035541825738913,0.020798454134825773,0.06145622635291904,0.1109431142564451,0.1817224609375,0.8,Small
