composite_ID,theta_Common,theta_Congruent,theta_Incongruent
A010_T1,-0.21837638,-0.14645109,-0.19839172
A010_T2,-0.6135027,-0.49018624,-0.5774162
A010_T3,-0.71076155,-0.7472929,-0.69089967
A010_T4,-0.91344815,-0.7211194,-0.5352292
A011_T1,0.06464064,0.092816524,0.4180711
A011_T2,-0.46051827,-0.30347845,-0.3730263
A011_T3,-0.64517677,-0.53213114,-0.39844763
A011_T4,-0.70183563,-1.2624987,-1.0058494
A012_T1,-0.11299584,-0.07631704,-0.26319304
A012_T2,-0.50322676,-0.5825451,-0.6835167
A012_T3,-0.21468535,-0.66364026,-0.43119046
A012_T4,-0.8530296,-0.8607189,-0.8213732
A013_T1,-0.59523505,-0.27973455,-0.760434
A013_T2,-0.71096057,-0.8179554,-0.787793
A013_T3,-0.90336365,-0.2663049,-0.5437398
A013_T4,-1.0204393,-1.0938703,-1.4462161
A014_T1,-0.31575117,-0.20850998,-0.20865713
A014_T2,-0.18863544,-0.46776143,-0.085784435
A014_T3,-0.5067355,-0.61916596,-0.3742499
A014_T4,-0.5309494,-1.1417136,-0.6940057
A015_T1,0.1478312,0.080849946,0.029915275
A015_T2,-0.23167688,-0.2513115,-0.34297073
A015_T3,-0.16636986,-0.30403167,-0.38712233
A015_T4,-0.647737,-0.4556535,-0.3982483
A016_T1,-0.42651024,-0.32729107,-0.20109226
A016_T2,-0.7083215,-0.47805068,-0.51146555
A016_T3,-0.8704279,-1.0141622,-0.6307198
A016_T4,-1.3285408,-1.9602563,-1.0874058
A017_T1,0.22713786,-0.15210493,-0.050550863
A017_T2,0.12913221,0.22161458,0.37616742
A017_T3,0.25517404,0.18487115,0.16344005
A017_T4,-0.10067907,-0.003696698,-0.05830908
A018_T1,-0.26172757,-0.08675025,-0.2737818
A018_T2,-0.1593717,-0.59518427,-0.24162628
A018_T3,-0.75480217,-0.76017225,-0.82405907
A018_T4,-0.9304417,-0.9158059,-0.6834587
A019_T1,-2.011773,-2.1664224,-2.4123783
A019_T2,-2.686788,-2.009122,-2.1736994
A019_T3,-2.407096,-2.1491692,-2.37307
A019_T4,-2.3311577,-2.5337958,-1.7481909
A020_T1,-0.15611939,-0.26701468,-0.45759633
A020_T2,-0.3256946,-0.51464427,-0.39950776
A020_T3,-0.6582603,-1.3487837,-0.81771845
A020_T4,-1.5926524,-1.2898188,-1.1671014
A021_T1,-0.5802737,-0.44721925,-0.15455027
A021_T2,-0.41855347,-0.48956826,-0.38272583
A021_T3,-0.46029195,-0.5939567,-0.34876692
A021_T4,-0.34437293,-0.35563362,-0.2532734
A022_T1,-1.2542998,-0.64802283,-0.97853035
A022_T2,-1.8677373,-1.492753,-1.6442801
A022_T3,-1.0122173,-0.8369283,-0.6643592
A022_T4,-2.1071615,-1.9266484,-1.6971332
A023_T1,-0.3546272,-0.53677994,-0.23518662
A023_T2,-0.38793874,-0.60698503,-0.5212391
A023_T3,-0.485421,-0.45389134,-0.7865364
A023_T4,-0.19640866,-0.5553943,-0.73089755
A024_T1,-0.6836894,-0.5529413,-0.63189185
A024_T2,-0.31257537,-0.52084565,-0.38149142
A024_T3,-0.43025056,-0.5644715,-0.6993244
A024_T4,-0.9618955,-0.51859456,-1.1861862
A025_T1,-0.14081731,-0.38930637,-0.1315356
A025_T2,-0.6132905,-0.31195822,-0.3282735
A025_T3,-0.88580674,-0.5638975,-1.0377458
A025_T4,-1.417594,-1.0112624,-1.9472052
A026_T1,-0.36503953,-0.3819697,-0.5305961
A026_T2,-0.4322403,-0.47930023,-0.41408488
A026_T3,-0.82322145,-0.44024467,-0.2952491
A026_T4,-0.48267612,-0.27736092,-0.5032541
A027_T1,-0.34756047,-0.2076202,-0.22527617
A027_T2,-0.4481119,-0.46383077,-0.3967447
A027_T3,-1.080568,-0.91895676,-1.1700761
A027_T4,-1.1325653,-1.7252904,-1.2431318
A028_T1,-0.054767232,0.19452086,0.027775345
A028_T2,-0.33236355,-0.57829607,-0.25811836
A028_T3,-0.65912193,-0.7359198,-0.53546923
A028_T4,-0.63351375,-0.8922511,-1.0116268
A029_T1,0.13776043,0.08558736,0.053527508
A029_T2,-0.30871353,-0.24591371,-0.047662362
A029_T3,-0.42374143,-0.21559593,-0.377799
A029_T4,-0.3897824,-0.23756483,-0.76733285
A030_T1,-0.56138754,-0.7866119,-0.4607326
A030_T2,-0.32249522,-0.33011407,-0.3564016
A030_T3,-0.6964402,-0.7536597,-0.6385999
A030_T4,-0.47005928,-0.54322547,-0.36523032
A031_T1,0.049898673,0.2692753,0.09475647
A031_T2,-0.3403696,-0.017567897,-0.30450672
A031_T3,-0.6998162,-0.59132695,-1.027827
A031_T4,-0.96404403,-1.4007759,-1.3784822
A032_T1,-0.22113344,-0.24172722,-0.23351078
A032_T2,-0.595588,-0.61153746,-0.62136596
A032_T3,-0.7790153,-0.4454148,-0.37818873
A032_T4,-0.6906261,-0.17751563,-0.45590672
A033_T1,-0.3509539,-0.45722213,-0.18282865
A033_T2,-0.501959,-0.52812696,-0.7299611
A033_T3,-0.16663325,-0.31753787,-0.17893906
A033_T4,-0.49842402,-0.80483,-0.52563524
A034_T1,-0.14991783,0.16399635,-0.07332657
A034_T2,0.09972168,0.0878398,-0.11480117
A034_T3,-0.34408543,-0.38711584,-0.18118839
A034_T4,-0.40043807,-0.73347974,-0.88080823
A035_T1,-0.58748883,-0.6873689,-0.39313075
A035_T2,-0.30964813,-0.35464787,-0.42959154
A035_T3,-0.54351425,-0.8606771,-0.70731425
A035_T4,-0.7079246,-1.0819523,-0.9453898
