composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A010_T1,A010,T1,1.0,0.6931471805599453,Common,0.48328072
A010_T2,A010,T2,21.9,3.131136910560194,Common,0.45677957
A010_T3,A010,T3,80.88,4.405254760793088,Common,-0.6049483
A010_T4,A010,T4,145.31,4.985727658390071,Common,-0.53013176
A011_T1,A011,T1,1.0,0.6931471805599453,Common,1.6036261
A011_T2,A011,T2,24.57,3.2414197893030954,Common,0.6236132
A011_T3,A011,T3,72.55,4.297965447047447,Common,0.42162582
A011_T4,A011,T4,148.85,5.009634793762673,Common,-0.46462286
A012_T1,A012,T1,1.0,0.6931471805599453,Common,1.0912529
A012_T2,A012,T2,25.6,3.2809112157876537,Common,-0.023758017
A012_T3,A012,T3,166.33,5.119967910506483,Common,0.5149039
A012_T4,A012,T4,166.87,5.123189870334323,Common,-0.020444898
A013_T1,A013,T1,1.0,0.6931471805599453,Common,-0.3941561
A013_T2,A013,T2,24.77,3.2492110246642736,Common,-0.07283578
A013_T3,A013,T3,79.66,4.390242789445222,Common,-0.29521585
A013_T4,A013,T4,147.13,4.998090266593961,Common,-0.46105915
A014_T1,A014,T1,1.0,0.6931471805599453,Common,1.0335114
A014_T2,A014,T2,25.66,3.2831643147505627,Common,1.3262863
A014_T3,A014,T3,70.56,4.270536258640519,Common,0.73203737
A014_T4,A014,T4,148.87,5.009768251656904,Common,0.4848129
A015_T1,A015,T1,1.0,0.6931471805599453,Common,1.1149864
A015_T2,A015,T2,23.69,3.206398303357088,Common,-0.12606643
A015_T3,A015,T3,70.59,4.270955399408094,Common,0.20315361
A015_T4,A015,T4,146.54,4.9940993254561565,Common,-0.7618113
A016_T1,A016,T1,1.0,0.6931471805599453,Common,0.8493283
A016_T2,A016,T2,32.85,3.521938999358284,Common,-0.29098785
A016_T3,A016,T3,80.64,4.402319337941644,Common,0.0677378
A016_T4,A016,T4,150.8,5.02256386496153,Common,-0.74132484
A017_T1,A017,T1,1.0,0.6931471805599453,Common,1.7082521
A017_T2,A017,T2,20.61,3.0731561705187946,Common,1.5363775
A017_T3,A017,T3,61.28,4.131640346965797,Common,1.2156272
A017_T4,A017,T4,140.49,4.952229043207861,Common,-0.06760119
A018_T1,A018,T1,1.0,0.6931471805599453,Common,0.07809487
A018_T2,A018,T2,34.03,3.5562048372093953,Common,0.20171568
A018_T3,A018,T3,83.64,4.438406968109989,Common,-0.72949773
A018_T4,A018,T4,150.87,5.023024891742178,Common,-1.2705388
A019_T1,A019,T1,1.0,0.6931471805599453,Common,0.047048267
A019_T2,A019,T2,28.69,3.3908102887756684,Common,-0.20232682
A019_T3,A019,T3,83.68,4.4388794462666645,Common,0.07857297
A019_T4,A019,T4,154.76,5.048316361063944,Common,-0.5522269
A020_T1,A020,T1,1.0,0.6931471805599453,Common,0.353878
A020_T2,A020,T2,26.85,3.326832966373293,Common,0.3275236
A020_T3,A020,T3,78.25,4.37260741275739,Common,-0.111905396
A020_T4,A020,T4,145.78,4.9889348671169165,Common,-1.2903628
A021_T1,A021,T1,1.0,0.6931471805599453,Common,0.4223149
A021_T2,A021,T2,30.21,3.440738556282688,Common,0.46531308
A021_T3,A021,T3,74.19,4.320018243389936,Common,0.4942931
A021_T4,A021,T4,140.39,4.951522029603749,Common,0.15331583
A022_T1,A022,T1,1.0,0.6931471805599453,Common,-1.2636837
A022_T2,A022,T2,24.15,3.224857896545748,Common,-1.3087242
A022_T3,A022,T3,74.46,4.323602714536165,Common,-1.1600952
A022_T4,A022,T4,141.71,4.9608145991123,Common,-1.8277833
A023_T1,A023,T1,1.0,0.6931471805599453,Common,0.7560503
A023_T2,A023,T2,25.63,3.282038399825841,Common,0.62134933
A023_T3,A023,T3,72.2,4.293195420967266,Common,0.5609531
A023_T4,A023,T4,145.07,4.984085958862719,Common,0.7166849
A024_T1,A024,T1,1.0,0.6931471805599453,Common,0.22889724
A024_T2,A024,T2,29.57,3.420019135902743,Common,0.36377516
A024_T3,A024,T3,91.47,4.526884267589547,Common,0.088006705
A024_T4,A024,T4,145.65,4.9880487954234605,Common,-0.55584866
A025_T1,A025,T1,1.0,0.6931471805599453,Common,1.1146866
A025_T2,A025,T2,23.33,3.1917101567954314,Common,-0.044434816
A025_T3,A025,T3,72.94,4.303253953508486,Common,-0.37301433
A025_T4,A025,T4,137.74,4.932601677957155,Common,-1.720921
A026_T1,A026,T1,1.0,0.6931471805599453,Common,0.4397963
A026_T2,A026,T2,26.48,3.3134584673541485,Common,0.13197225
A026_T3,A026,T3,75.46,4.336767728268267,Common,-0.097730406
A026_T4,A026,T4,147.65,5.001594549444107,Common,0.5985375
A027_T1,A027,T1,1.0,0.6931471805599453,Common,0.6751755
A027_T2,A027,T2,28.26,3.3762213955919784,Common,0.08495351
A027_T3,A027,T3,74.58,4.325191697921343,Common,0.060664784
A027_T4,A027,T4,145.92,4.989888220951467,Common,-0.79506606
A028_T1,A028,T1,1.0,0.6931471805599453,Common,1.365022
A028_T2,A028,T2,22.82,3.170525563927154,Common,0.7000891
A028_T3,A028,T3,72.26,4.294014757350668,Common,-0.13056406
A028_T4,A028,T4,138.91,4.940999358745194,Common,-0.24690272
A029_T1,A029,T1,1.0,0.6931471805599453,Common,1.5517049
A029_T2,A029,T2,28.43,3.382014562245381,Common,0.7344401
A029_T3,A029,T3,93.26,4.546056921495585,Common,0.53695965
A029_T4,A029,T4,143.14,4.970785049496295,Common,0.37976265
A030_T1,A030,T1,1.0,0.6931471805599453,Common,-0.000991546
A030_T2,A030,T2,32.95,3.5248888540047054,Common,0.46248072
A030_T3,A030,T3,71.93,4.289500076996142,Common,-0.19670881
A030_T4,A030,T4,150.46,5.020321563685677,Common,0.2379243
A031_T1,A031,T1,1.0,0.6931471805599453,Common,1.6786112
A031_T2,A031,T2,32.41,3.508855256368665,Common,-0.2616012
A031_T3,A031,T3,71.56,4.2844138058068815,Common,-0.020452736
A031_T4,A031,T4,143.85,4.975698724215359,Common,-0.868676
A032_T1,A032,T1,1.0,0.6931471805599453,Common,0.60389715
A032_T2,A032,T2,57.18,4.063541653067055,Common,-1.0164691
A032_T3,A032,T3,80.16,4.396422514957614,Common,-0.6242578
A032_T4,A032,T4,144.51,4.980244812772187,Common,-0.2229333
A033_T1,A033,T1,1.0,0.6931471805599453,Common,0.26036695
A033_T2,A033,T2,29.16,3.4065165431397553,Common,-0.10109462
A033_T3,A033,T3,72.6,4.298645025734831,Common,0.76847684
A033_T4,A033,T4,168.33,5.131849473677249,Common,-0.35207093
A034_T1,A034,T1,1.0,0.6931471805599453,Common,1.6448331
A034_T2,A034,T2,26.08,3.298795448044074,Common,1.4952326
A034_T3,A034,T3,74.28,4.3212144952771245,Common,1.3170433
