effect,beta,se,cohens_d,power_observed,power_small_d020,power_medium_d050,power_large_d080,n_required_d020,n_required_d050,n_required_d080
Congruent × Time,-0.0053795419349257,0.0095637026573676,0.5624957328406124,0.97604763677558,0.2882667332520032,0.9383068794243505,0.9998640688404993,395,65,27
Incongruent × Time,-0.0108205745347732,0.0095637026573676,1.1314210533759477,0.9999999987416197,0.2882667332520032,0.9383068794243505,0.9998640688404993,395,65,27
