effect,beta,se,equivalence_bound_d,equivalence_bound_beta,tost_p,decision
Congruent × Time,-0.0053795419349257,0.0095637026573676,0.2,0.0019127405314735202,0.6411189034250347,Inconclusive
Incongruent × Time,-0.0108205745347732,0.0095637026573676,0.2,0.0019127405314735202,0.8230376402030822,Inconclusive
