composite_ID,theta_Common,theta_Congruent,theta_Incongruent
A089_T1,0.9798063,1.3039511,0.37651265
A089_T2,0.9080445,0.96663094,0.65543205
A089_T3,0.48770294,-0.26393116,-0.19752884
A089_T4,0.08557583,-0.08055281,-0.52401394
A090_T1,-0.35734013,-0.5897266,-0.45387933
A090_T2,-0.895705,-0.5595992,-0.80925447
A090_T3,-1.5495409,-1.5689739,-1.709392
A090_T4,-1.2496858,-1.0528587,-1.1067449
A091_T1,0.929876,0.5737847,0.6786652
A091_T2,0.4898551,-0.015516608,0.57699955
A091_T3,-0.27084842,-0.25197223,-0.20961815
A091_T4,0.039248843,-0.29546487,-0.18765081
A092_T1,-0.21018913,-0.04794584,0.025033973
A092_T2,-0.40839288,0.49750766,-0.3676604
A092_T3,-0.36913925,-0.87419343,-0.6508956
A092_T4,-0.92654276,-1.0271956,-0.5604214
A093_T1,1.8863667,1.5687394,0.87163645
A093_T2,0.65928304,0.47417432,0.8182416
A093_T3,0.26443118,0.15755275,0.33399647
A093_T4,-0.19815324,-0.21907209,0.22917232
A094_T1,-0.34197062,-0.5646423,-0.6318086
A094_T2,0.058869928,-0.39551097,-0.30173466
A094_T3,-1.0615929,-1.0374577,-1.1520671
A094_T4,-1.5498525,-0.94307864,-1.8590226
A095_T1,0.89498186,1.4517397,1.0518168
A095_T2,-0.33750013,-0.10375094,0.16301355
A095_T3,0.2299884,-0.43006915,0.21890199
A095_T4,-0.23249625,-1.1650947,-0.19358274
A096_T1,1.5919161,1.3077021,1.134232
A096_T2,0.5699916,0.47245136,0.4446256
A096_T3,0.4321983,0.595139,1.2006466
A096_T4,0.6906765,1.2338485,0.50713146
A097_T1,-0.91488755,-0.64660174,-0.74387664
A097_T2,-0.66835433,-0.68759215,-0.74313676
A097_T3,-0.4045328,-0.5227812,-0.47963247
A097_T4,-1.1176647,-1.4535594,-1.4022226
A098_T1,0.5927121,0.5878306,1.0165561
A098_T2,-0.2544657,-0.09333228,-0.055209234
A098_T3,0.936746,0.5307551,0.98897034
A098_T4,0.22590356,0.5402537,-0.16705404
A099_T1,0.8971632,1.1005908,1.2172518
A099_T2,0.93869454,0.96224314,0.9246756
A099_T3,0.7674628,0.74644065,1.055869
A099_T4,1.4818188,1.9481039,1.0202104
A100_T1,1.0584316,0.8725508,1.182893
A100_T2,0.96297234,0.8017346,1.1460923
A100_T3,0.8095997,0.66154516,0.876945
A100_T4,0.44496024,0.25496414,0.47141188
A101_T1,-0.610561,-0.6260104,-0.32702854
A101_T2,-1.7245398,-0.9546811,-0.5121647
A101_T3,-2.132718,-1.8980911,-1.409355
A101_T4,-1.7568707,-2.2826872,-1.283524
A102_T1,0.46258628,0.2707021,0.22224006
A102_T2,-0.29522273,0.6082563,-0.037113465
A102_T3,-1.16788,-0.39174312,-0.75463295
A102_T4,-0.24432187,-0.7047882,-0.23294999
A103_T1,-2.1496155,-1.7543083,-1.7427477
A103_T2,-2.078288,-2.7410018,-2.6229963
A103_T3,-2.8077073,-2.625994,-2.7353005
A103_T4,-2.9013498,-2.1219773,-2.4707181
A104_T1,1.4968857,0.9576634,1.120304
A104_T2,0.4585,0.49863416,0.5038833
A104_T3,-1.3553964,0.15277065,-0.48170272
A104_T4,-2.4260375,-2.5819225,-2.5328224
A105_T1,1.4342695,1.9800628,2.191189
A105_T2,1.2676841,0.8262777,1.3926325
A105_T3,-0.10543131,0.25873846,0.044542216
A105_T4,0.2768614,-0.46648434,0.38007346
A106_T1,0.62846553,1.3092083,0.81145173
A106_T2,-0.015184133,-0.00087185204,-0.49697703
A106_T3,0.40806973,0.23739776,0.046946093
A106_T4,-0.15138155,0.009460646,-0.46102303
A107_T1,-2.5937958,-2.9418175,-2.4477227
A107_T2,-0.48547253,-0.5517045,-0.18226935
A107_T3,-0.79160804,-0.7524422,-0.54469776
A107_T4,-1.781519,-1.4061681,-1.8866273
A108_T1,-0.83135366,-1.2403814,-0.58750033
A108_T2,-1.5951226,-1.994219,-1.3101197
A108_T3,-0.8794727,-0.26606885,-1.0653949
A108_T4,-1.1472707,-0.89036095,-0.56229544
A109_T1,0.5387026,0.5354365,0.7461202
A109_T2,-0.08196612,-0.039042868,0.16383384
A109_T3,0.5959314,0.5513375,0.7152565
A109_T4,0.42326775,0.19870397,0.6092888
