UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A014,T2,Congruent,25.66,1.1286854,-0.46776143,1.2411031407823467,0.4828086863610919,-0.7582944544212549
A014,T3,Congruent,70.56,0.63820106,-0.61916596,0.7328601516742981,0.23239985858332274,-0.5004602930909754
A014,T4,Congruent,148.87,-0.029684639,-1.1417136,0.04079274735660153,-0.6318447052381145,-0.6726374525947161
A014,T1,Incongruent,1.0,1.2308433,-0.20865713,1.3537600700583805,0.9056257072496696,-0.4481343628087109
A014,T2,Incongruent,25.66,1.418613,-0.085784435,1.549188641293803,1.108488704546546,-0.44069993674725705
A014,T3,Incongruent,70.56,0.7124817,-0.3742499,0.8142552038775873,0.6322318042926923,-0.182023399584895
A014,T4,Incongruent,148.87,0.5585034,-0.6940057,0.6539963379888988,0.10431451566269598,-0.5496818223262028
A015,T1,Common,1.0,1.1149864,0.1478312,1.2264331566092332,1.4566289341922862,0.23019577758305299
A015,T2,Common,23.69,-0.12606643,-0.23167688,-0.056777550636843595,0.8414877111872588,0.8982652618241025
A015,T3,Common,70.59,0.20315361,-0.16636986,0.2836259117749715,0.9473432707147761,0.6637173589398047
A015,T4,Common,146.54,-0.7618113,-0.647737,-0.7141183217470994,0.1670996163134464,0.8812179380605458
A015,T1,Congruent,1.0,1.1867816,0.080849946,1.3013027923019427,1.39016021388612,0.08885742158417731
A015,T2,Congruent,23.69,0.3378462,-0.2513115,0.42163053761663105,0.8407964773728943,0.41916593975626326
A015,T3,Congruent,70.59,0.05781043,-0.30403167,0.13145569370219734,0.7536022833157898,0.6221465896135925
A015,T4,Congruent,146.54,-0.38666388,-0.4556535,-0.32911141002253624,0.5028340618113197,0.8319454718338559
A015,T1,Incongruent,1.0,0.9689107,0.029915275,1.0811435947805295,1.2995090932258972,0.2183654984453678
A015,T2,Incongruent,23.69,0.058559548,-0.34297073,0.13366045475377836,0.6838737592376746,0.5502133044838962
A015,T3,Incongruent,70.59,-0.27400735,-0.38712233,-0.21247139567968631,0.6109794037305151,0.8234507994102014
A015,T4,Incongruent,146.54,0.17482848,-0.3982483,0.2546718386981981,0.5926104111562486,0.3379385724580505
A016,T1,Common,1.0,0.8493283,-0.42651024,0.9517507980938034,0.5256840757216352,-0.42606672237216814
A016,T2,Common,32.85,-0.29098785,-0.7083215,-0.22730125992827424,0.06889874684803712,0.29620000677631136
A016,T3,Common,80.64,0.0677378,-0.8704279,0.14361010171280006,-0.1938580544114832,-0.33746815612428327
