effect,beta,se,z,p_value,ci_lower,ci_upper
Intercept,-0.34066456857081373,0.054434272377598465,-6.2582735782284225,3.892625278072285e-10,-0.4473537819555502,-0.23397535518607726
C(congruence)[T.Congruent],-0.018582825296741153,0.035834696029830616,-0.518570752805378,0.6040601089174868,-0.08881753891214962,0.05165188831866731
C(congruence)[T.Incongruent],-0.00421864655182058,0.035834696029830616,-0.11772519427285681,0.9062854034486384,-0.07445336016722905,0.06601606706358788
log_TSVR,-0.12340290292980814,0.010593662100139104,-11.648748257525389,2.32853972335216e-31,-0.14416609911046774,-0.10263970674914855
C(congruence)[T.Congruent]:log_TSVR,-0.005379541934925718,0.00956370265736764,-0.5624957328406119,0.5737783101486333,-0.0241240547022163,0.013364970832364865
C(congruence)[T.Incongruent]:log_TSVR,-0.010820574534773272,0.00956370265736764,-1.1314210533759506,0.2578779143612322,-0.029565087302063857,0.007923938232517311
Group Var,4.626491005765743,0.7496101053440964,6.171863176313541,6.748989462501042e-10,3.1572821968440383,6.095699814687448
Group x log_TSVR Cov,-0.2185408425130941,0.09738959756476907,-2.2439854766598994,0.024833335804053808,-0.40942094620889125,-0.02766073881729697
log_TSVR Var,0.13245018161555422,0.024216194569072525,5.46948783541373,4.513378974213073e-08,0.08498731241755761,0.17991305081355083
