time,theta,CI_lower,CI_upper,congruence,n
1.0,0.50323970093,0.32648276686336575,0.6799966349966343,Common,100
28.769699999999997,0.05241127041,-0.11112054548733517,0.21594308630733516,Common,100
78.6681,-0.27060072000999996,-0.44053438797980415,-0.10066705204019577,Common,100
151.3752,-0.56966711865,-0.7603670583771239,-0.378967178922876,Common,100
1.0,0.532159819615,0.36043583245414834,0.7038838067758517,Congruent,100
28.769699999999997,0.043338268171600004,-0.1286788336145773,0.2153553699577773,Congruent,100
78.6681,-0.27956098875999996,-0.44701776903539303,-0.11210420848460687,Congruent,100
151.3752,-0.57214524491,-0.7564193249936484,-0.38787116482635153,Congruent,100
1.0,0.53156099946,0.367172922031358,0.695949076888642,Incongruent,100
28.769699999999997,0.085505224201,-0.08055449571358946,0.25156494411558944,Incongruent,100
78.6681,-0.283671414289,-0.45605223631978686,-0.11129059225821314,Incongruent,100
151.3752,-0.6128457536599999,-0.7952791725815622,-0.43041233473843765,Incongruent,100
