time,probability,CI_lower,CI_upper,congruence,n
1.0,0.7045244875351733,0.645888127866501,0.7571028161144312,Common,100
28.769699999999997,0.5462629903434132,0.4844313775148046,0.6066996213875658,Common,100
78.6681,0.4245724542831012,0.3631745992848739,0.48838971595587505,Common,100
151.3752,0.3192223324595351,0.259915825074161,0.3850211066455873,Common,100
1.0,0.7095170956607533,0.6543854488335515,0.7590919010790557,Congruent,100
28.769699999999997,0.5419301097686775,0.47826698364483394,0.6042528934448316,Congruent,100
78.6681,0.4229327081223504,0.3637592065799923,0.4844034041285808,Congruent,100
151.3752,0.3219882448693472,0.26543102398152685,0.384291966801509,Congruent,100
1.0,0.7119215980254466,0.658700452079419,0.7598690808740657,Incongruent,100
28.769699999999997,0.5582104090130048,0.4960404456795854,0.6186077521922956,Incongruent,100
78.6681,0.4203564135396554,0.35880428125718594,0.48448917209506714,Incongruent,100
151.3752,0.3065362758408847,0.2514811461261582,0.3677230860728947,Incongruent,100
