UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,Common,1.0,0.48328072,-0.21837638,0.5732687845460683,0.8630463716420728,0.2382720234439208
A010,T2,Common,21.9,0.45677957,-0.6135027,0.5458674051589117,0.2225896843265465,-0.15685462148445756
A010,T3,Common,80.88,-0.6049483,-0.71076155,-0.5519267725197057,0.0649436918168152,0.34431792409303597
A010,T4,Common,145.31,-0.53013176,-0.91344815,-0.4745687560949702,-0.2635891895140139,0.09149133936201329
A010,T1,Congruent,1.0,1.251567,-0.14645109,1.368433835357386,1.0142257159062211,-0.12630568440834278
A010,T2,Congruent,21.9,0.2144668,-0.49018624,0.2937840195191163,0.4457201634137323,0.10448283262703392
A010,T3,Congruent,80.88,-0.6773748,-0.7472929,-0.6303479121851758,0.020489971526756,0.33968741284369314
A010,T4,Congruent,145.31,-0.6122237,-0.7211194,-0.5628379284664756,0.0637784745447401,0.3295616074634316
A010,T1,Incongruent,1.0,0.70163125,-0.19839172,0.8029621787475403,0.92257391401832,0.16008518196544935
A010,T2,Incongruent,21.9,-0.0013698519,-0.5774162,0.0712866159637431,0.2968039489199721,0.15136545084674707
A010,T3,Incongruent,80.88,-0.6218238,-0.69089967,-0.5744748066436322,0.1094425756885138,0.3765765767239743
A010,T4,Incongruent,145.31,-0.21168874,-0.5352292,-0.1476108941521367,0.3664547469834746,0.3126935779381631
A011,T1,Common,1.0,1.6036261,0.06464064,1.7316716765725706,1.3217861060214786,-0.10331988465823994
A011,T2,Common,24.57,0.6236132,-0.46051827,0.7183682811649157,0.4705607667101599,-0.0926662798631171
A011,T3,Common,72.55,0.42162582,-0.64517677,0.50951950174222,0.1712494700224219,-0.16979698411103517
A011,T4,Common,148.85,-0.46462286,-0.70183563,-0.406834555045759,0.0794116350164566,0.27400150070657764
A011,T1,Congruent,1.0,1.7089931,0.092816524,1.842421666161601,1.4099518064460732,-0.14440993686542491
A011,T2,Congruent,24.57,0.63395435,-0.30347845,0.728459683793356,0.7545172570732013,0.056646975199679095
A011,T3,Congruent,72.55,0.2110465,-0.53213114,0.2902398829302779,0.3763472507257451,0.0662814416017771
A011,T4,Congruent,148.85,-0.48312432,-1.2624987,-0.4290643307544756,-0.8316118806589597,-0.25687208521937055
A011,T1,Incongruent,1.0,2.428998,0.4180711,2.600785874221706,1.940354922136395,-0.1502498464881734
A011,T2,Incongruent,24.57,0.7614453,-0.3730263,0.8652159626716991,0.6342519696637902,-0.05716770572717422
A011,T3,Incongruent,72.55,0.66335136,-0.39844763,0.763120903985163,0.5922813170377287,-0.02944304110851642
A011,T4,Incongruent,148.85,-0.37408584,-1.0058494,-0.3166319514674334,-0.4105398844149447,-0.092957869991041
A012,T1,Common,1.0,1.0912529,-0.11299584,1.2018934427596426,1.0338567382000925,0.0028656514607124928
A012,T2,Common,25.6,-0.023758017,-0.50322676,0.049006222486621,0.4013349605789756,0.23014017454805677
A012,T3,Common,166.33,0.5149039,-0.21468535,0.6059661864553568,0.8690291288691343,0.2241692011548596
A012,T4,Common,166.87,-0.020444898,-0.8530296,0.0524318863039949,-0.1656573069064278,-0.13484735808190468
A012,T1,Congruent,1.0,1.4330585,-0.07631704,1.5564964806555075,1.130220826804207,-0.1571648328781604
