model,cv_r2_mean,ci_lower,ci_upper
Minimal,-0.10173185738026813,-0.17920366344731722,0.16700857608192346
Core,-0.05552861189229778,-0.1818436175338272,0.221939737321026
Extended,0.016905868694116966,-0.16954746580728158,0.32133565268147013
Full,-0.044538302923509354,-0.21334890048538083,0.32999750465695415
Full+Retention,-0.23205363422189781,-0.22973783313110432,0.35646844452677895
