model,train_r2_mean,train_r2_sd,cv_r2_mean,cv_r2_sd,shrinkage,overfitting_flag
Minimal,0.10452109426816089,0.020489776898518403,-0.10173185738026813,0.2058966847545513,0.20625295164842902,True
Core,0.1632278252849654,0.038859378175531895,-0.05552861189229778,0.19918822361338287,0.21875643717726317,True
Extended,0.25957627659803195,0.03255226032121971,0.016905868694116966,0.11355748381687082,0.24267040790391498,True
Full,0.28661349304282674,0.028214037877596604,-0.044538302923509354,0.13927552108613872,0.3311517959663361,True
Full+Retention,0.345639854098761,0.031017714060651295,-0.23205363422189781,0.38313858962414343,0.5776934883206588,True
