UID,cooks_d,leverage,studentized_residual
A010,0.019152294872988307,0.060608807640840465,1.3345701500289353
A011,0.011723394418503631,0.13033799086979403,-0.6850812029018193
A012,0.0006721171098537429,0.07910172407201634,0.2166760730927392
A013,0.0004908252523034668,0.05152619080397435,-0.23282935080258702
A014,0.008411973296167219,0.06999225031945039,0.8189226313940456
A015,0.04010061163606747,0.04774272008461826,2.1906585701387145
A016,0.0017153206328798484,0.04152770648631421,-0.4873815552438684
A017,0.004749669888090459,0.07428474229700956,0.5959313580957072
A018,0.003959797872939579,0.042433650570997,-0.7322196410529773
A019,0.02948622115313566,0.06610173838033388,-1.5809878321964859
A020,0.027488825877512297,0.03583827265426277,-2.1064692793686315
A021,0.0021808601483668684,0.04093618006821465,0.5536810122426368
A022,0.001604505000713145,0.05026675819406543,0.42648773231191717
A023,0.01490584516493098,0.10037245617299188,0.8953194598554762
A024,0.002591490695826925,0.05267755622395975,-0.5287940451488012
A025,0.002004452327268962,0.04115549093876453,0.529338753638841
A026,0.0043039735527068525,0.051594856820890767,0.6889761154997165
A027,0.0038476612691440695,0.03966199621392816,-0.7476508209484524
A028,0.00027431517296934427,0.0474768692324287,0.1817177158997755
A029,0.014165705833483592,0.04655482809646288,1.3193506426150419
A030,0.0017462993917704815,0.051815664885225675,0.43787568222260903
A031,0.00069169476461593,0.021440425921244077,0.43522095781516196
A032,0.0021778891848303608,0.018391415489359762,0.8351319717109672
A033,0.0006060747416666328,0.05227732491189538,0.25675722630756004
A034,0.00024177822974598878,0.03960308433173895,0.18756210361151068
A035,0.005349421955433727,0.030475856384937255,-1.0104862498225369
A036,0.001737433379634368,0.043198528103341724,-0.48051411369730745
A037,0.0003489518150133892,0.0383954286269403,0.22899017843331412
A038,0.0033664543828613607,0.10331561657126423,0.41869599753675896
A039,0.012571889461502282,0.03816644108447857,1.378748434908763
A040,0.03315577580689113,0.08817313785325995,-1.4343107890793163
A041,0.0006980441348064739,0.058837645022775505,0.2588342237503259
A042,0.004945114497292658,0.030744727638913335,-0.9671582972087337
A043,0.001494645545811507,0.018393524183020978,0.6918006486739282
A044,0.010213654893024761,0.019846430910721205,-1.739690810652043
A045,0.023588514418777053,0.0822129021558668,-1.2569757660966099
A046,0.028051004351213462,0.06804468496400744,-1.5182744158141617
A047,8.365809172204493e-05,0.14265938629038832,-0.0549232369940679
A048,1.794323337565583e-05,0.03666673806426942,-0.05318364733548453
A049,0.0024878463114486834,0.05091200459047933,0.5275098102448667
A050,0.029108103758152325,0.08258344934932343,-1.3928981400197773
A051,0.000270748478082082,0.16227389437116316,0.09157677232235219
A052,0.0009633557063713942,0.044886325806795316,-0.3507029871080591
A053,0.0008304888515380725,0.011782011383349323,0.6464860934082379
A054,0.014379561045949441,0.041688771445707845,1.408290272972842
A055,0.014946341901995617,0.06224265888778362,1.16236961715011
A056,5.891806250552812e-07,0.016408066206105864,-0.014557226286765269
A057,0.004454208426235692,0.016915556039867358,-1.2462729406827284
A058,0.0013943273558555034,0.032421178867128184,-0.4996740264643901
A059,0.004923971270028052,0.027981339579058087,1.0130629453075497
A060,0.004228241386327618,0.05004387710459959,0.6939558006486668
A061,0.09486309762781635,0.10512380870385923,2.201178231783869
A062,0.001225114246471078,0.03636115527260942,-0.44136941263028046
A063,6.241088414612946e-05,0.035092680399615044,0.10147062201249377
A064,0.0009729587935936308,0.05332200658550891,-0.3219368924746336
A065,0.08104759170899156,0.06965722819033919,-2.5484967369371136
A066,0.004800903664093518,0.06680536803158635,-0.6343333667245773
A067,0.022822119844075672,0.048149725354049426,-1.6452845846843924
A068,1.4139528559077367e-06,0.03877418004329145,-0.014502220118166119
A069,0.012685570734600813,0.03926394778446307,-1.3646952915912676
A070,0.0024442693284282995,0.03575190933464533,-0.6289193079928094
A071,0.0005936178637550015,0.03340721907126168,-0.32101898493034475
A072,0.0019979209393662864,0.03883662601906272,-0.5446815123018317
A073,0.0018099396685237333,0.015543373372919254,0.829341366693371
A074,0.004036290990164094,0.02999645902296855,-0.8849495726297364
A075,0.0005471177244081976,0.02812383015652878,-0.33680943657665097
A076,0.015350315415871375,0.14738672030317293,-0.7299298864944689
A077,0.00018594792782756153,0.07475232899185205,0.11751354641042489
A078,0.0004118134763785384,0.04285893409099042,-0.234905504969388
A079,0.014693581956740937,0.04710076708206032,-1.3355155948565574
A080,0.0012838122047319086,0.05165965970623985,0.3760388511006295
A081,0.03528446603017343,0.0888164898147107,1.4737489993816848
A082,0.0028268695117860433,0.08713678455528187,0.42153204437736397
A083,0.01366764483496206,0.06869454032771827,1.0544049380575256
A084,0.0030453724568802886,0.0468745306246849,0.6095402718896277
A085,0.008643072794034756,0.0851006307232651,0.7466722054915806
A086,0.015244290764472439,0.05155708099710275,-1.2971514212400417
A087,0.008813379900733057,0.051518031305762504,0.9866923948183999
A088,0.05333859595583735,0.033693725593298696,3.029558181611922
A089,0.017397954297007797,0.07951789690998988,1.0992587970348762
A090,0.0028153794230294958,0.055776409031296215,-0.5347567061051154
A091,0.0025367024501179608,0.04439054701156638,-0.5724075581386064
A092,0.0007822231107868925,0.08382272039696008,-0.22649041614788595
A093,0.0023785628817427867,0.045011373803180876,0.5502637572893856
A094,0.003368738563171675,0.03961734901898056,-0.6999849885812339
A095,1.0159689563627837e-06,0.030302940191133575,-0.013966625856553417
A096,0.024199873429241077,0.047475974166207746,-1.7068022215212701
A097,0.03228042974409736,0.1151292939500779,1.2200911230826985
A098,0.000831389061930924,0.04308755917829887,0.3328418539699753
A099,0.013828679569540342,0.04981024971413701,1.2580902398180893
A100,0.08053756712193325,0.13588318622938206,1.7529851829883234
A101,0.08821891836505642,0.1805823542826881,-1.5497851321965828
A102,0.004448865353779709,0.09019773355781342,-0.518890776330114
A103,0.004442097207974067,0.11130257135979942,-0.4613112195321835
A104,0.001187130504431414,0.04330638539290004,0.39667545355617234
A105,0.019727517226456767,0.12092781973226155,0.9276005501954474
A106,0.004067038579045601,0.08135749908180409,0.5249153141737666
A107,0.015404206491564392,0.06711401452592336,-1.1334515654966066
A108,0.0008560645449156378,0.11516059558278705,-0.19865941703126977
A109,0.003172087727235652,0.11587490225763322,-0.3810749393330601
