variable,mean,sd,min,max,missing_count
Age,44.57,14.579115407342314,20.0,70.0,0
Sex,0.3,0.4605661864718382,0.0,1.0,0
Education,6.1,1.6422453217986943,1.0,9.0,0
RAVLT_T,49.99999999999999,9.999999999999998,22.12576352169256,72.80619348225154,0
BVMT_T,49.99999999999999,10.0,17.93456496986795,65.3803381340584,0
RPM_T,50.0,9.999999999999998,19.525308178220932,61.0581079353304,0
RAVLT_Pct_Ret_T,50.00000000000001,10.0,23.741022945596413,71.70480094803885,0
BVMT_Pct_Ret_T,49.99999999999999,10.0,4.537756944769782,69.44040372658415,0
DASS_Total,7.1,7.972807320238999,0.0,37.0,0
Sleep,7.065,0.9889669132764531,4.0,10.0,0
