predictor,beta,se,ci_lower,ci_upper,p_uncorrected,p_bonferroni
const,-2.187244180266161,0.605802309700956,-3.1883398614755056,-1.1253131885301513,0.0004926038307732945,0.002463019153866473
Age,0.0008191915101008988,0.004961937019362782,-0.008317393889815146,0.009570482153583321,0.8692236538528301,1.0
RAVLT_T,0.0082983383026365,0.006628055059648942,-0.005432163428733606,0.0209014029614144,0.21367547471693563,1.0
BVMT_T,0.010465790516836904,0.008227686131431265,-0.005132684409126078,0.027479076006058575,0.2065035073344213,1.0
RPM_T,0.02369450585062477,0.0070390605570435595,0.01011896201670156,0.03961894141007378,0.0011053895111252398,0.005526947555626199
Education,0.005570629230255146,0.03745847226340644,-0.06819734371391242,0.07522667202629676,0.8820972555781463,1.0
