model,cv_r2_mean,shrinkage,rank,parsimony_selected,selected_as_optimal
Extended,0.0169058686941169,0.2426704079039149,1,True,True
Full,-0.0445383029235093,0.3311517959663361,2,False,False
Core,-0.0555286118922977,0.2187564371772631,3,False,False
Minimal,-0.1017318573802681,0.206252951648429,4,False,False
Full+Retention,-0.2320536342218978,0.5776934883206588,5,False,False
