UID,residual,fitted
A010,0.7791675440735361,0.19159389467646393
A011,-0.38484292414225263,0.4566450041422525
A012,0.12525151598422207,0.22966679651577793
A013,-0.13658927621309874,-0.02847387378690125
A014,0.4757210426093259,0.14117996489067408
A015,1.2877099477149663,0.2717880672850337
A016,-0.28742535479382303,0.400683176293823
A017,0.3453831568417973,-0.010050179341797305
A018,-0.43161051559734537,0.32708306834734535
A019,-0.9203319857051313,-0.20985744429486863
A020,-1.2459375616424238,0.3329289003924236
A021,0.32662512515126163,0.46397196484873837
A022,0.2503649722204926,-0.13542986212049257
A023,0.5115352906468916,-0.3780596408968916
A024,-0.3100285393351517,0.2648969568351518
A025,0.3122295393126726,0.03461313568732738
A026,0.40417302228799024,0.002697510712009743
A027,-0.44134384815739114,0.38346817315739123
A028,0.10683197068190145,0.02175148931809856
A029,0.776022475916678,0.24708884908332196
A030,0.256840448746418,0.178508626253582
A031,0.2593400800716436,0.1550195844283564
A032,0.4984142942953962,0.22543138820460373
A033,0.1505669025693559,0.2246140224306441
A034,0.11072270271933549,0.4985383622806645
A035,-0.5993436764630271,0.3973422089630272
A036,-0.2831282930961985,0.22523326059619864
A037,0.1352637178235252,0.5047282296764748
A038,0.23882776665661404,0.25785841134338594
A039,0.8145189643080177,0.3775077456919822
A040,-0.82502225039149,-0.08999099210851003
A041,0.15125863547974122,-0.041521960479741216
A042,-0.573565278668602,-0.2527398688313981
A043,0.41287242427286713,0.03805114822713285
A044,-1.0374933872851262,0.14563712228512626
A045,-0.7253775058396525,-0.3466173441603475
A046,-0.8829050962558896,-0.3298572287441103
A047,-0.030633669953527454,-0.9954566550464725
A048,-0.03144362447084209,0.345248724470842
A049,0.3095636693753985,0.18576522712460153
A050,-0.8036535155601728,0.009446705560172797
A051,0.05048967349102532,-0.08966327099102522
A052,-0.206458706188741,0.269896277188741
A053,0.38712549151659603,0.07117911598340387
A054,0.8304465267740566,0.18916058072594333
A055,0.6780405865282917,-0.5754802880282918
A056,-0.008696656512313355,-0.06325220598768655
A057,-0.744345869368189,0.232294539368189
A058,-0.29607119518943376,0.04358736118943374
A059,0.6016444803653793,0.3882349496346207
A060,0.40742698345705786,-0.17180081445705786
A061,1.2543042421221657,-0.3893765921221657
A062,-0.26099103338609453,0.35118301838609445
A063,0.06004119508849104,0.23323596991150897
A064,-0.18868531164013963,0.49796887914013954
A065,-1.4807160393857206,-0.4729578356142795
A066,-0.3691219550447211,-0.18080427745527894
A067,-0.9669222488403384,0.1417926988403384
A068,-0.008564724777616994,0.38247264977761697
A069,-0.805756731257325,-0.37364055124267503
A070,-0.372010781542465,0.16131571729246508
A071,-0.19011601206076575,0.38637294456076576
A072,-0.3216676944355821,0.399539919435582
A073,0.4956759258229824,-0.15932896632298243
A074,-0.5250146096022874,0.2700280371022874
A075,-0.20001194016059554,-0.09110382483940449
A076,-0.4059975354339409,-0.8148287095660591
A077,0.06808996927933791,0.4181746132206621
A078,-0.13843546840150117,-0.3603495115984988
A079,-0.7853055329826929,0.3447594204826929
A080,0.22058756901910573,-0.16704109401910583
A081,0.8474081842278387,-0.48589379172783875
A082,0.24260494755594342,0.24832545244405657
A083,0.612942465156431,0.1373548723435689
A084,0.35846243195662786,-0.36938152145662784
A085,0.430212331110436,-0.09085810861043608
A086,-0.7609611415143999,0.33062488151439995
A087,0.5788453186493083,0.0018343863506917746
A088,1.793919299499135,-0.2359668794991352
A089,0.6352926478319432,0.22982035216805685
A090,-0.3130111931338013,-0.43990235186619864
A091,-0.337063544328205,-0.036034910671794984
A092,-0.13058875862011055,-0.5969801538798895
A093,0.32391884403365606,0.16054381596634393
A094,-0.41321595739544614,-0.5243046126045539
A095,-0.008284680103731207,-0.005177137396268794
A096,-1.003430676296641,-0.32251063870335894
A097,0.691350659281947,-0.548931685281947
A098,0.19612828821531786,0.15832243678468205
A099,0.7387256329920623,0.012711149507937725
A100,0.9815912493017722,-0.7193570868017722
A101,-0.8450654597694116,-0.2578967777305885
A102,-0.29813685309072424,0.30947334159072426
A103,-0.2619613283672776,-0.22402945913272243
A104,0.233715744274256,-0.174125101774256
A105,0.5238892303808207,-0.23770911038082065
A106,0.3030600673392112,0.36705727616078887
A107,-0.6594524044249583,-0.4965497855750416
A108,-0.1125660920805428,-0.6605607579194571
A109,-0.21584075612452436,-0.5044237988754756
