correlation_pair,r_value,ci_lower,ci_upper,p_uncorrected,p_bonferroni,n_obs
RAVLTtotal-FreeRecall,0.2696338859897508,0.09414701066497363,0.43010773501996,0.0066701599163887515,0.026680639665555006,100
RAVLTtotal-Recognition,0.27933431489757654,0.11572624872767644,0.4387619783773367,0.004885657335871096,0.019542629343484386,100
RAVLTpctret-FreeRecall,0.3698082377371043,0.18839820393269707,0.5334382165054545,0.0001526305850212406,0.0006105223400849624,100
RAVLTpctret-Recognition,0.3675142576754123,0.18650850798698165,0.5309968755475973,0.00016892297410220358,0.0006756918964088143,100
