conf_bin,n_items,weight,mean_confidence,mean_accuracy,reliability_k,resolution_k,test
0.0,9,0.0008571428571428571,0.0,0.5555555555555556,0.308641975308642,0.003360318468127983,T1
0.2,1712,0.16304761904761905,0.2,0.2867990654205608,0.007534077757882787,0.10674905840933334,T1
0.4,1448,0.1379047619047619,0.4,0.3308011049723757,0.0047884870730441715,0.07993212766887732,T1
0.6,1531,0.1458095238095238,0.5999999999999999,0.43370346178967994,0.027654538620736392,0.03233535745922326,T1
0.8,1217,0.1159047619047619,0.7999999999999999,0.6450287592440427,0.024016085461440864,0.0009925618568744226,T1
1.0,4583,0.43647619047619046,1.0,0.8767183067859481,0.015198375881723613,0.06927134338906989,T1
0.2,2389,0.22752380952380952,0.19999999999999998,0.2758476349937212,0.005752863734140767,0.0712940772894666,T2
0.4,1965,0.18714285714285714,0.4000000000000001,0.3475826972010178,0.0027475736327201945,0.03813210912630692,T2
0.6,1563,0.14885714285714285,0.5999999999999999,0.4472168905950096,0.023342678519457233,0.009147057852764482,T2
0.8,1217,0.1159047619047619,0.7999999999999999,0.6228430566967954,0.03138458256053482,0.006397746412764327,T2
1.0,3366,0.32057142857142856,1.0,0.8618538324420677,0.019084363610944306,0.10175888796614092,T2
0.2,2995,0.28523809523809524,0.19999999999999996,0.2567612687813022,0.0032218416336632343,0.06028225334024906,T3
0.4,2032,0.19352380952380951,0.4000000000000001,0.3248031496062992,0.005654566309132633,0.03150006076518278,T3
0.6,1648,0.15695238095238095,0.5999999999999999,0.4496359223300971,0.022609355853520557,0.0027720005929697793,T3
0.8,1069,0.10180952380952381,0.7999999999999999,0.6632366697848456,0.018704208491539337,0.025905210076083342,T3
1.0,2756,0.2624761904761905,1.0,0.8690130624092888,0.017157577819392877,0.13448894786174936,T3
0.2,3592,0.3420952380952381,0.20000000000000004,0.2344097995545657,0.0011840343053853872,0.05271166014057471,T4
0.4,2059,0.1960952380952381,0.4000000000000001,0.330743079164643,0.004796521083594915,0.017757406950520603,T4
0.6,1623,0.15457142857142858,0.5999999999999999,0.4867529266789895,0.012824899615774297,0.0005176956724594713,T4
0.8,878,0.08361904761904762,0.8000000000000002,0.6708428246013668,0.016681575956953344,0.04278395408907178,T4
1.0,2348,0.2236190476190476,1.0,0.8390119250425895,0.025917160278492828,0.14063394392414874,T4
