UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,calibration
A010,T1,A010_T1,1.0,2.8830530689398013,0.9753947743300766,-1.9076582946097247
A010,T2,A010_T2,21.9,0.5052076791127328,0.12372262010192785,-0.3814850590108049
A010,T3,A010_T3,80.88,-0.07378346707421485,-0.37058498798891804,-0.2968015209147032
A010,T4,A010_T4,145.31,0.7727444288214043,-0.3304529048367201,-1.1031973336581244
A011,T1,A011_T1,1.0,1.0482891983446903,1.9975819564396422,0.949292758094952
A011,T2,A011_T2,24.57,0.4176078205403924,0.7196435354269004,0.302035714886508
A011,T3,A011_T3,72.55,-0.6662658366531093,0.39484657662914197,1.0611124132822514
A011,T4,A011_T4,148.85,-0.521569730597497,-0.1339869014942709,0.3875828291032261
A012,T1,A012_T1,1.0,1.594072102094145,1.0765605081461684,-0.5175115939479766
A012,T2,A012_T2,25.6,-0.40295540148604175,0.18085893760247884,0.5838143390885207
A012,T3,A012_T3,166.33,0.9038484955309777,0.25922019466177976,-0.644628300869198
A012,T4,A012_T4,166.87,-0.6172554058077001,0.17722925960571442,0.7944846654134146
A013,T1,A013_T1,1.0,0.26670289451326906,0.11123150357689635,-0.15547139093637272
A013,T2,A013_T2,24.77,-0.6177281295600757,-0.6291320910655245,-0.011403961505448756
A013,T3,A013_T3,79.66,0.16233050059565665,-0.0642138924720574,-0.22654439306771407
A013,T4,A013_T4,147.13,-0.5369127916885822,-0.7191641861093069,-0.1822513944207247
A014,T1,A014_T1,1.0,1.0178701001989596,1.5575502161549304,0.5396801159559708
A014,T2,A014_T2,25.66,1.8315451042066309,1.2499350564339302,-0.5816100477727006
A014,T3,A014_T3,70.56,0.3864242817416044,1.0696592310889819,0.6832349493473775
A014,T4,A014_T4,148.87,-0.6480304900979368,0.5276071149908883,1.175637605088825
A015,T1,A015_T1,1.0,1.8903724899059138,1.406040907109268,-0.4843315827966457
A015,T2,A015_T2,23.69,2.0623836601818533,0.4709668049986334,-1.59141685518322
A015,T3,A015_T3,70.59,1.8428554106082895,0.260117068761548,-1.5827383418467416
A015,T4,A015_T4,146.54,0.7862634912726506,0.35940674167705244,-0.42685674959559816
A016,T1,A016_T1,1.0,1.462292609805827,0.6517828295400725,-0.8105097802657546
A016,T2,A016_T2,32.85,0.24592366387197875,0.1871439148508642,-0.05877974902111455
A016,T3,A016_T3,80.64,-0.07352735302528347,-0.07288707945909417,0.0006402735661893005
A016,T4,A016_T4,150.8,-1.1809670662895544,-0.44298762973024897,0.7379794365593054
A017,T1,A017_T1,1.0,-0.13431818266158782,1.217983102240005,1.3523012849015927
A017,T2,A017_T2,20.61,1.302041323434086,2.1955422347995492,0.8935009113654633
