composite_ID,theta_accuracy,se_accuracy
A069_T2,-1.5067587,
A069_T3,-0.71302193,
A069_T4,-1.7110198,
A070_T1,0.5967721,
A070_T2,0.042192243,
A070_T3,-0.4347659,
A070_T4,-1.0469787,
A071_T1,1.1001538,
A071_T2,0.40058818,
A071_T3,-0.86193055,
A071_T4,0.1462163,
A072_T1,0.9622242,
A072_T2,0.37431285,
A072_T3,-0.88631296,
A072_T4,-0.13873519,
A073_T1,0.8751058,
A073_T2,-0.48682293,
A073_T3,-0.018863132,
A073_T4,0.9759681,
A074_T1,1.1391835,
A074_T2,-0.16370372,
A074_T3,-0.85258937,
A074_T4,-1.1428367,
A075_T1,0.4822121,
A075_T2,0.49708104,
A075_T3,-1.5457226,
A075_T4,-0.5980336,
A076_T1,-0.39436588,
A076_T2,-0.7679121,
A076_T3,-1.2046329,
A076_T4,-2.5163941,
A077_T1,1.257486,
A077_T2,-0.15718071,
A077_T3,0.254887,
A077_T4,0.58986604,
A078_T1,0.05510661,
A078_T2,0.07325087,
A078_T3,-1.0537938,
A078_T4,-1.0697036,
A079_T1,0.49688977,
A079_T2,-0.40158516,
A079_T3,-0.94553256,
A079_T4,-0.9119565,
A080_T1,0.35685366,
A080_T2,0.34285796,
A080_T3,0.31786218,
A080_T4,-0.8033879,
A081_T1,0.56923956,
A081_T2,-0.24241331,
A081_T3,0.93472326,
A081_T4,0.18450806,
A082_T1,0.47511065,
A082_T2,1.1720833,
A082_T3,0.4018064,
A082_T4,-0.08527875,
A083_T1,1.9135383,
A083_T2,0.9028967,
A083_T3,0.21852846,
A083_T4,-0.03377411,
A084_T1,0.37614724,
A084_T2,-0.4066572,
A084_T3,0.011830099,
A084_T4,-0.024996497,
A085_T1,0.29977113,
A085_T2,1.7130281,
A085_T3,-0.14947924,
A085_T4,-0.5059031,
A086_T1,0.9054527,
A086_T2,-0.35819164,
A086_T3,-1.1229844,
A086_T4,-1.1456217,
A087_T1,1.164813,
A087_T2,1.112516,
A087_T3,-0.23325346,
A087_T4,0.27864328,
