test,reliability,resolution,uncertainty,brier_direct,brier_reconstructed,reconstruction_error,overall_accuracy,n_items
T1,0.015602921855419175,0.06349621890757337,0.23711234467120182,0.18921904761904765,0.18921904761904762,2.7755575615628914e-17,0.6135238095238095,10500
T2,0.01505335095863605,0.0580813781695204,0.24816326530612245,0.2051352380952381,0.2051352380952381,0.0,0.5428571428571428,10500
T3,0.011969599640693628,0.061663422769945325,0.24999477551020408,0.20030095238095236,0.20030095238095239,2.7755575615628914e-17,0.5022857142857143,10500
T4,0.010518458689197534,0.05662055392729279,0.24870400000000004,0.20260190476190482,0.2026019047619048,2.7755575615628914e-17,0.464,10500
