UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A010,T1,A010_T1,1.0,2.7277744,,0.9966144,0.07339282,2.8830530689398013,0.9753947743300766
A010,T2,A010_T2,21.9,0.4830945,,0.15345456,0.07339282,0.5052076791127328,0.12372262010192785
A010,T3,A010_T3,80.88,-0.063471645,,-0.33591253,0.07339282,-0.07378346707421485,-0.37058498798891804
A010,T4,A010_T4,145.31,0.7356485,,-0.29618156,0.07339282,0.7727444288214043,-0.3304529048367201
A011,T1,A011_T1,1.0,0.99576205,,2.008585,0.07339282,1.0482891983446903,1.9975819564396422
A011,T2,A011_T2,24.57,0.40040046,,0.74341935,0.07339282,0.4176078205403924,0.7196435354269004
A011,T3,A011_T3,72.55,-0.62277347,,0.42186868,0.07339282,-0.6662658366531093,0.39484657662914197
A011,T4,A011_T4,148.85,-0.48618072,,-0.1016792,0.07339282,-0.521569730597497,-0.1339869014942709
A012,T1,A012_T1,1.0,1.5109797,,1.096769,0.07339282,1.594072102094145,1.0765605081461684
A012,T2,A012_T2,25.6,-0.3742091,,0.21001981,0.07339282,-0.40295540148604175,0.18085893760247884
A012,T3,A012_T3,166.33,0.8594104,,0.28759786,0.07339282,0.9038484955309777,0.25922019466177976
A012,T4,A012_T4,166.87,-0.57650775,,0.20642641,0.07339282,-0.6172554058077001,0.17722925960571442
A013,T1,A013_T1,1.0,0.2579466,,0.14108829,0.07339282,0.26670289451326906,0.11123150357689635
A013,T2,A013_T2,24.77,-0.576954,,-0.5918755,0.07339282,-0.6177281295600757,-0.6291320910655245
A013,T3,A013_T3,79.66,0.15941933,,-0.03260356,0.07339282,0.16233050059565665,-0.0642138924720574
A013,T4,A013_T4,147.13,-0.50066453,,-0.68100774,0.07339282,-0.5369127916885822,-0.7191641861093069
A014,T1,A014_T1,1.0,0.9670465,,1.5729513,0.07339282,1.0178701001989596,1.5575502161549304
A014,T2,A014_T2,25.66,1.7351536,,1.2684107,0.07339282,1.8315451042066309,1.2499350564339302
A014,T3,A014_T3,70.56,0.37096328,,1.0899367,0.07339282,0.3864242817416044,1.0696592310889819
A014,T4,A014_T4,148.87,-0.60555935,,0.5533023,0.07339282,-0.6480304900979368,0.5276071149908883
A015,T1,A015_T1,1.0,1.7906865,,1.4229563,0.07339282,1.8903724899059138,1.406040907109268
A015,T2,A015_T2,23.69,1.9530646,,0.4972281,0.07339282,2.0623836601818533,0.4709668049986334
A015,T3,A015_T3,70.59,1.7458305,,0.28848577,0.07339282,1.8428554106082895,0.260117068761548
A015,T4,A015_T4,146.54,0.74841046,,0.38678306,0.07339282,0.7862634912726506,0.35940674167705244
A016,T1,A016_T1,1.0,1.3865802,,0.6762369,0.07339282,1.462292609805827,0.6517828295400725
A016,T2,A016_T2,32.85,0.23833106,,0.21624197,0.07339282,0.24592366387197875,0.1871439148508642
A016,T3,A016_T3,80.64,-0.063229874,,-0.04119006,0.07339282,-0.07352735302528347,-0.07288707945909417
A016,T4,A016_T4,150.8,-1.1086501,,-0.40759152,0.07339282,-1.1809670662895544,-0.44298762973024897
A017,T1,A017_T1,1.0,-0.12061626,,1.2367781,0.07339282,-0.13431818266158782,1.217983102240005
A017,T2,A017_T2,20.61,1.2353034,,2.2045667,0.07339282,1.302041323434086,2.1955422347995492
A017,T3,A017_T3,61.28,0.18662216,,2.0331683,0.07339282,0.1911471367252667,2.022413442802936
A017,T4,A017_T4,140.49,0.04002261,,1.1423697,0.07339282,0.0358505779071373,1.1226215805085704
A018,T1,A018_T1,1.0,0.34396127,,0.4011214,0.07339282,0.3578203792455004,0.37388983768866474
A018,T2,A018_T2,34.03,-0.10368377,,-0.6122024,0.07339282,-0.11638117378794262,-0.6496642059629563
A018,T3,A018_T3,83.64,-0.6740158,,-0.9603171,0.07339282,-0.7205481145647604,-1.0012933780396123
A018,T4,A018_T4,150.87,0.015628511,,-1.4447218,0.07339282,0.010009300562365287,-1.4905884971800591
A019,T1,A019_T1,1.0,-0.44238952,,-0.13678566,0.07339282,-0.4751806204909757,-0.169447786841377
A019,T2,A019_T2,28.69,-1.233944,,-0.41609767,0.07339282,-1.3136940188000008,-0.4515796555253672
