test,ECE,n_items,bin_0_error,bin_025_error,bin_05_error,bin_075_error,bin_1_error
1,0.1201904761904762,10500,0.5555555555555556,0.08679906542056076,0.11910036925142664,0.15497124075595725,0.12328169321405191
2,0.11462857142857147,10500,,0.07584763499372124,0.09688208616780053,0.17715694330320453,0.1381461675579323
3,0.10264761904761908,10500,,0.05676126878130222,0.10885869565217393,0.1367633302151543,0.13098693759071123
4,0.08965714285714284,10500,,0.03440979955456566,0.08864747419880498,0.12915717539863336,0.16098807495741052
