LocationType,Early_slope,Late_slope,Difference,SE,CI_lower,CI_upper,Significant
Source,-0.2062185732419928,-0.1040419667325813,-0.1021766065094115,0.08455735220531674,-0.2679090168318323,0.0635558038130093,False
Destination,-0.2091297454474678,-0.0462917915423717,-0.1628379539050961,0.08455735220531657,-0.32857036422751656,0.002894456417324387,False
