Segment,LocationType,Days_within,theta,CI_lower,CI_upper,n_obs,Data_Type
Early,Source,0.5798044217687074,0.30632969399744897,0.19875033162649675,0.4139090563684012,196,observed
Early,Destination,0.5798044217687074,0.257590442327551,0.1399520894127802,0.37522879524232183,196,observed
Late,Source,2.5045710784313724,-0.3386242934779412,-0.4533635761027644,-0.22388501085311802,204,observed
Late,Destination,2.5045710784313724,-0.20401803954411762,-0.3062919757083038,-0.10174410337993145,204,observed
Early,Source,0.0,0.42589613461399045,,,0,predicted
Early,Source,0.10526315789473684,0.4041889163779912,,,0,predicted
Early,Source,0.21052631578947367,0.38248169814199195,,,0,predicted
Early,Source,0.3157894736842105,0.36077447990599276,,,0,predicted
Early,Source,0.42105263157894735,0.33906726166999346,,,0,predicted
Early,Source,0.5263157894736842,0.31736004343399427,,,0,predicted
Early,Source,0.631578947368421,0.295652825197995,,,0,predicted
Early,Source,0.7368421052631579,0.27394560696199577,,,0,predicted
Early,Source,0.8421052631578947,0.2522383887259965,,,0,predicted
Early,Source,0.9473684210526315,0.23053117048999727,,,0,predicted
Early,Source,1.0526315789473684,0.20882395225399805,,,0,predicted
Early,Source,1.1578947368421053,0.18711673401799878,,,0,predicted
Early,Source,1.263157894736842,0.16540951578199958,,,0,predicted
Early,Source,1.3684210526315788,0.14370229754600033,,,0,predicted
Early,Source,1.4736842105263157,0.12199507931000109,,,0,predicted
Early,Source,1.5789473684210527,0.10028786107400178,,,0,predicted
Early,Source,1.6842105263157894,0.07858064283800259,,,0,predicted
Early,Source,1.789473684210526,0.0568734246020034,,,0,predicted
Early,Source,1.894736842105263,0.035166206366004094,,,0,predicted
Early,Source,2.0,0.013458988130004845,,,0,predicted
Early,Destination,0.0,0.378844793461357,,,0,predicted
Early,Destination,0.10526315789473684,0.3568311360458341,,,0,predicted
Early,Destination,0.21052631578947367,0.3348174786303112,,,0,predicted
Early,Destination,0.3157894736842105,0.3128038212147882,,,0,predicted
Early,Destination,0.42105263157894735,0.2907901637992653,,,0,predicted
Early,Destination,0.5263157894736842,0.2687765063837424,,,0,predicted
Early,Destination,0.631578947368421,0.24676284896821948,,,0,predicted
Early,Destination,0.7368421052631579,0.22474919155269654,,,0,predicted
Early,Destination,0.8421052631578947,0.20273553413717363,,,0,predicted
Early,Destination,0.9473684210526315,0.18072187672165071,,,0,predicted
Early,Destination,1.0526315789473684,0.15870821930612777,,,0,predicted
Early,Destination,1.1578947368421053,0.13669456189060483,,,0,predicted
Early,Destination,1.263157894736842,0.11468090447508195,,,0,predicted
Early,Destination,1.3684210526315788,0.09266724705955903,,,0,predicted
Early,Destination,1.4736842105263157,0.07065358964403606,,,0,predicted
Early,Destination,1.5789473684210527,0.04863993222851315,,,0,predicted
Early,Destination,1.6842105263157894,0.026626274812990236,,,0,predicted
Early,Destination,1.789473684210526,0.004612617397467322,,,0,predicted
Early,Destination,1.894736842105263,-0.01740104001805559,,,0,predicted
Early,Destination,2.0,-0.03941469743357856,,,0,predicted
Late,Source,0.0,-0.0780437926563991,,,0,predicted
Late,Source,0.13559322033898305,-0.09215117797607114,,,0,predicted
Late,Source,0.2711864406779661,-0.10625856329574318,,,0,predicted
Late,Source,0.4067796610169492,-0.12036594861541522,,,0,predicted
Late,Source,0.5423728813559322,-0.13447333393508726,,,0,predicted
Late,Source,0.6779661016949152,-0.1485807192547593,,,0,predicted
Late,Source,0.8135593220338984,-0.16268810457443134,,,0,predicted
Late,Source,0.9491525423728814,-0.17679548989410337,,,0,predicted
Late,Source,1.0847457627118644,-0.1909028752137754,,,0,predicted
Late,Source,1.2203389830508475,-0.20501026053344748,,,0,predicted
Late,Source,1.3559322033898304,-0.2191176458531195,,,0,predicted
Late,Source,1.4915254237288136,-0.23322503117279156,,,0,predicted
Late,Source,1.6271186440677967,-0.2473324164924636,,,0,predicted
Late,Source,1.7627118644067796,-0.26143980181213566,,,0,predicted
Late,Source,1.8983050847457628,-0.2755471871318077,,,0,predicted
Late,Source,2.0338983050847457,-0.28965457245147974,,,0,predicted
Late,Source,2.169491525423729,-0.3037619577711518,,,0,predicted
Late,Source,2.305084745762712,-0.3178693430908238,,,0,predicted
Late,Source,2.440677966101695,-0.33197672841049586,,,0,predicted
Late,Source,2.5762711864406778,-0.34608411373016784,,,0,predicted
Late,Source,2.711864406779661,-0.3601914990498399,,,0,predicted
Late,Source,2.847457627118644,-0.374298884369512,,,0,predicted
Late,Source,2.983050847457627,-0.388406269689184,,,0,predicted
Late,Source,3.1186440677966103,-0.40251365500885605,,,0,predicted
Late,Source,3.2542372881355934,-0.4166210403285281,,,0,predicted
Late,Source,3.389830508474576,-0.43072842564820013,,,0,predicted
Late,Source,3.5254237288135593,-0.44483581096787217,,,0,predicted
Late,Source,3.6610169491525424,-0.4589431962875442,,,0,predicted
Late,Source,3.7966101694915255,-0.47305058160721625,,,0,predicted
Late,Source,3.9322033898305087,-0.4871579669268883,,,0,predicted
Late,Source,4.067796610169491,-0.5012653522465603,,,0,predicted
Late,Source,4.203389830508475,-0.5153727375662325,,,0,predicted
Late,Source,4.338983050847458,-0.5294801228859044,,,0,predicted
