composite_ID,UID,test,theta_source,theta_destination,se_source,se_destination,TSVR_hours
A010_1,A010,1,1.623562,2.010915,0.5,0.5,1.0
A010_2,A010,2,0.09898508,1.0975147,0.5,0.5,21.9
A010_3,A010,3,-0.5057274,-1.186541,0.5,0.5,80.88
A010_4,A010,4,0.5918101,-0.4293288,0.5,0.5,145.31
A011_1,A011,1,0.12731029,1.1835473,0.5,0.5,1.0
A011_2,A011,2,-0.20856883,0.07751111,0.5,0.5,24.57
A011_3,A011,3,-0.8450841,-0.5014456,0.5,0.5,72.55
A011_4,A011,4,-0.13091515,-0.84890825,0.5,0.5,148.85
A012_1,A012,1,1.0843484,0.33868304,0.5,0.5,1.0
A012_2,A012,2,-0.13956255,-1.1255839,0.5,0.5,25.6
A012_3,A012,3,1.1480632,0.09193352,0.5,0.5,166.33
A012_4,A012,4,-0.95036143,-0.9537699,0.5,0.5,166.87
A013_1,A013,1,-0.15501398,-0.035398606,0.5,0.5,1.0
A013_2,A013,2,-0.8239752,-0.3057711,0.5,0.5,24.77
A013_3,A013,3,0.5210637,0.9779469,0.5,0.5,79.66
A013_4,A013,4,-1.5770361,-0.066024296,0.5,0.5,147.13
A014_1,A014,1,0.47304404,0.7553257,0.5,0.5,1.0
A014_2,A014,2,1.1207099,-0.4665811,0.5,0.5,25.66
A014_3,A014,3,0.04152508,0.12054519,0.5,0.5,70.56
A014_4,A014,4,-1.1226914,-0.5400671,0.5,0.5,148.87
A015_1,A015,1,1.200968,1.0023323,0.5,0.5,1.0
A015_2,A015,2,1.5226954,1.4194467,0.5,0.5,23.69
A015_3,A015,3,1.1774372,0.24626894,0.5,0.5,70.59
A015_4,A015,4,-0.10652651,-0.43521827,0.5,0.5,146.54
A016_1,A016,1,1.356192,1.7207321,0.5,0.5,1.0
A016_2,A016,2,1.3373035,1.479976,0.5,0.5,32.85
A016_3,A016,3,-0.013329637,-0.6975632,0.5,0.5,80.64
A016_4,A016,4,-1.0709041,-0.8562173,0.5,0.5,150.8
A017_1,A017,1,-0.2286647,-0.15520337,0.5,0.5,1.0
A017_2,A017,2,0.8418083,0.41041905,0.5,0.5,20.61
A017_3,A017,3,0.1830041,0.22881152,0.5,0.5,61.28
A017_4,A017,4,1.0870038,-0.7611534,0.5,0.5,140.49
A018_1,A018,1,0.9366276,1.5116286,0.5,0.5,1.0
A018_2,A018,2,0.34145153,0.4516168,0.5,0.5,34.03
A018_3,A018,3,-0.39613545,-0.5255531,0.5,0.5,83.64
A018_4,A018,4,0.23495352,-0.6034264,0.5,0.5,150.87
A019_1,A019,1,-0.8907665,-1.1137557,0.5,0.5,1.0
A019_2,A019,2,-0.8944451,0.2184492,0.5,0.5,28.69
