Test,Bound_d,Bound_beta,t_statistic,p_value,Result,Interpretation
TOST_Main,0.2,0.12688577540449522,,0.28885311238035927,NOT_CONFIRMED,Cannot rule out d≤0.2
Test1_Lower,0.2,-0.12688577540449522,1.577331277052547,0.0575593153758287,t=1.577,β > -0.127
Test2_Upper,0.2,0.12688577540449522,0.5569686169726277,0.28885311238035927,t=0.557,β < +0.127
TOST_Strict,0.01,0.0237803086173041,,0.6217476655086558,NOT_CONFIRMED,Cannot rule out f²≤0.01
CI_Check,0.2,0.12688577540449522,,,OUTSIDE_BOUNDS,"90% CI [-0.135, 0.256]"
