Segment,LocationType,slope,SE,CI_lower,CI_upper,p_value
Early,Source,-0.20621857324199283,0.08058989453247326,-0.3641747665256404,-0.04826237995834526,0.010501484057475086
Late,Source,-0.10404196673258131,0.0292624428915526,-0.1613963548000244,-0.04668757866513822,0.00037729277117781734
Early,Destination,-0.20912974544746787,0.08058989453247307,-0.36708593873111506,-0.05117355216382066,0.009459443940597945
Late,Destination,-0.04629179154237172,0.02926244289155254,-0.1036461796098147,0.011062596525071251,0.11366043905455703
