UID,test,LocationType,theta,se,TSVR_hours,Segment,Days_within,theta_model_averaged
A028,2,Source,-0.37323314,0.5,22.82,Early,0.9508333333333332,0.16616322303817038
A028,3,Source,0.4525285,0.5,72.26,Late,0.7658333333333335,-0.129704492344559
A028,4,Source,-1.4747403,0.5,138.91,Late,3.5429166666666667,-0.35910977573274105
A029,1,Source,1.4011933,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A029,2,Source,0.22787775,0.5,28.43,Early,1.184583333333333,0.12152629384096778
A029,3,Source,1.1538624,0.5,93.26,Late,1.6408333333333334,-0.2156832918064968
A029,4,Source,-0.056302976,0.5,143.14,Late,3.7191666666666654,-0.36996351634113034
A030,1,Source,0.77168596,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A030,2,Source,1.0246594,0.5,32.95,Early,1.3729166666666668,0.08858024559330904
A030,3,Source,0.54660773,0.5,71.93,Late,0.7520833333333335,-0.1282156934862188
A030,4,Source,1.3088306,0.5,150.46,Late,4.024166666666667,-0.38789026574903407
A031,1,Source,1.2707294,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A031,2,Source,-0.06876846,0.5,32.41,Early,1.3504166666666666,0.0924379618598389
A031,3,Source,-0.23774107,0.5,71.56,Late,0.7366666666666667,-0.12654643416020103
A031,4,Source,-1.0014096,0.5,143.85,Late,3.74875,-0.37175249234234325
A032,1,Source,0.95065767,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A032,2,Source,-0.558087,0.5,57.18,Late,0.1374999999999998,-0.05700728401569567
A032,3,Source,0.03167592,0.5,80.16,Late,1.0949999999999998,-0.16390076505714438
A032,4,Source,1.2263699,0.5,144.51,Late,3.77625,-0.37341548411811865
A033,1,Source,0.01302593,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A033,2,Source,0.11565804,0.5,29.16,Early,1.215,0.11610014057341951
A033,3,Source,1.0797325,0.5,72.6,Late,0.7799999999999997,-0.1312384063198185
A033,4,Source,-0.57237154,0.5,168.33,Late,4.768750000000001,-0.4272775924557088
A034,1,Source,1.4213097,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A034,2,Source,1.3198788,0.5,26.08,Early,1.086666666666667,0.13967691622858147
A034,3,Source,0.29753846,0.5,74.28,Late,0.85,-0.13866574467636397
A034,4,Source,0.2194541,0.5,145.38,Late,3.8125,-0.3755651157211561
A035,1,Source,-0.58022076,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A035,2,Source,0.94498247,0.5,44.76,Early,1.865,0.012145689861489669
A035,3,Source,-0.67052317,0.5,79.98,Late,1.0875,-0.16314088265898596
A035,4,Source,-1.0736576,0.5,152.47,Late,4.107916666666667,-0.3926304178874671
A036,1,Source,0.56033707,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A036,2,Source,0.11009441,0.5,21.63,Early,0.90125,0.17628036236466177
A036,3,Source,-0.44275582,0.5,71.47,Late,0.7329166666666665,-0.12614039810792643
A036,4,Source,-1.2420775,0.5,143.85,Late,3.74875,-0.37175249234234325
A037,1,Source,0.971286,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A037,2,Source,0.94823486,0.5,23.7,Early,0.9875,0.15885087180954874
A037,3,Source,0.0045165215,0.5,72.08,Late,0.7583333333333332,-0.12889242024000977
A037,4,Source,-0.5205274,0.5,143.66,Late,3.740833333333333,-0.37127375228568066
A038,1,Source,0.71647024,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A038,2,Source,-0.52280927,0.5,71.85,Late,0.7487499999999997,-0.12785477255086358
A038,3,Source,1.3734354,0.5,72.86,Late,0.7908333333333332,-0.1324021200934041
A038,4,Source,-0.27067098,0.5,152.89,Late,4.125416666666666,-0.39360569602289364
A039,1,Source,1.3928413,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A039,2,Source,0.31963685,0.5,28.65,Early,1.19375,0.11989101477403542
A039,3,Source,1.0655857,0.5,98.84,Late,1.8733333333333333,-0.23610420732832574
A039,4,Source,0.74151385,0.5,246.24,Late,8.015,-0.5356596696832585
A040,1,Source,-0.46198902,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A040,2,Source,-0.335709,0.5,26.26,Early,1.0941666666666667,0.13828158265516197
A040,3,Source,-1.4675875,0.5,71.28,Late,0.725,-0.12528321088645786
A040,4,Source,-1.0677122,0.5,143.53,Late,3.735416666666667,-0.3709461932995431
A041,1,Source,1.079175,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A041,2,Source,-1.0853513,0.5,31.78,Early,1.3241666666666667,0.09693863083745699
A041,3,Source,-0.1782166,0.5,75.74,Late,0.910833333333333,-0.14505777123514796
A041,4,Source,0.9023358,0.5,141.84,Late,3.665000000000001,-0.36667668353491567
A042,1,Source,-0.5589121,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A042,2,Source,-1.3708228,0.5,28.93,Early,1.2054166666666666,0.1178097505070306
A042,3,Source,-0.8300745,0.5,72.17,Late,0.7620833333333333,-0.12929845629228437
A042,4,Source,-1.5882493,0.5,146.02,Late,3.8391666666666673,-0.37714551559168463
A043,1,Source,0.66669923,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A043,2,Source,0.21157885,0.5,25.62,Early,1.0675,0.14328787850103408
A043,3,Source,-0.3631573,0.5,64.94,Late,0.4608333333333331,-0.09575772585663883
A043,4,Source,-0.15410642,0.5,149.33,Late,3.977083333333334,-0.38520388269003913
A044,1,Source,-0.77502024,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A044,2,Source,-0.4404797,0.5,47.66,Early,1.985833333333333,-0.004918636339335548
A044,3,Source,-1.4569299,0.5,91.63,Late,1.5729166666666663,-0.20953715538949513
A044,4,Source,-1.2631737,0.5,155.27,Late,4.224583333333334,-0.39909219265007995
A045,1,Source,-0.5580017,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A045,2,Source,-0.8744425,0.5,24.66,Early,1.0275,0.15106937515529142
A045,3,Source,-0.7973534,0.5,72.23,Late,0.7645833333333334,-0.1295691469938008
A045,4,Source,-0.57261163,0.5,151.52,Late,4.068333333333334,-0.39040310558783814
A046,1,Source,-0.6971506,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A046,2,Source,-1.4928403,0.5,24.32,Early,1.0133333333333334,0.15382532188700754
A046,3,Source,-1.7452676,0.5,73.05,Late,0.7987499999999997,-0.13324021070661704
A046,4,Source,-0.63528097,0.5,147.94,Late,3.919166666666667,-0.3818405134522528
A047,1,Source,-0.35001668,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A047,2,Source,-0.16671039,0.5,23.46,Early,0.9775,0.16079624597311307
A047,3,Source,-1.3709793,0.5,76.85,Late,0.957083333333333,-0.1498468205329252
A047,4,Source,-1.6715268,0.5,144.22,Late,3.764166666666666,-0.372684775610581
A048,1,Source,1.1008136,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A048,2,Source,0.42243886,0.5,23.91,Early,0.99625,0.15714866941642996
A048,3,Source,-0.026019838,0.5,81.15,Late,1.1362500000000002,-0.1679943555610669
A048,4,Source,-0.17341782,0.5,146.3,Late,3.850833333333334,-0.3778369405350409
A049,1,Source,1.1971763,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A049,2,Source,-1.2098973,0.5,27.12,Early,1.13,0.1316149889154911
A049,3,Source,0.85623467,0.5,111.38,Late,2.395833333333333,-0.2788276105160002
A049,4,Source,-0.14212708,0.5,168.86,Late,4.790833333333334,-0.4283598152485386
A050,1,Source,0.004513393,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A050,2,Source,-0.64157915,0.5,24.73,Early,1.0304166666666668,0.15050197435758517
A050,3,Source,-0.91331995,0.5,93.39,Late,1.64625,-0.2161678024890436
A050,4,Source,-0.3250553,0.5,148.69,Late,3.950416666666667,-0.3836552810265979
A051,1,Source,1.209352,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A051,2,Source,-0.22324474,0.5,17.16,Early,0.715,0.21650748052225816
A051,3,Source,-0.78436285,0.5,65.63,Late,0.489583333333333,-0.09906479652326458
A051,4,Source,-0.21998222,0.5,146.99,Late,3.879583333333334,-0.37954080914545446
A052,1,Source,0.78120226,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A052,2,Source,-0.19870977,0.5,31.76,Early,1.3233333333333337,0.09708150921769883
A052,3,Source,0.39233577,0.5,80.98,Late,1.1291666666666669,-0.16729190641631836
A052,4,Source,-0.8431323,0.5,153.27,Late,4.14125,-0.3944880905263749
A053,1,Source,1.0110499,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A053,2,Source,0.9028614,0.5,32.71,Early,1.3629166666666668,0.09029478615621118
A053,3,Source,-0.8095616,0.5,78.28,Late,1.0166666666666666,-0.1559642155652673
A053,4,Source,-0.7212973,0.5,148.9,Late,3.959166666666667,-0.38416341594741454
A054,1,Source,-0.009010122,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A054,2,Source,1.0112917,0.5,16.9,Early,0.7041666666666666,0.2189674538380158
A054,3,Source,1.1221242,0.5,72.83,Late,0.7895833333333332,-0.132269789996581
A054,4,Source,1.0953832,0.5,136.83,Late,3.4562500000000007,-0.35364067359318924
A055,1,Source,-0.104547046,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A055,2,Source,0.97470355,0.5,23.24,Early,0.9683333333333332,0.1625924679817617
