term,estimate,se,z_value,p_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Age_c,0.0008535906523958076,0.005217056135847588,0.16361538579786228,0.8700339318201018,0.8700339318201018,1.0,False,False
TSVR_hours:Age_c,-2.1211740468822336e-05,3.18333069872784e-05,-0.6663379484041424,0.505195114890546,0.505195114890546,1.0,False,False
