term,estimate,se,z_value,p_value
Intercept,-0.006054574662648306,0.07627442663735423,-0.07937882891515793,0.9367313075758534
TSVR_hours,9.127926181428444e-05,0.00045825532234104895,0.19918865611418116,0.8421151727356861
Age_c,0.0008535804864964421,0.005255086068282723,0.1624294018033806,0.8709677189724261
TSVR_hours:Age_c,-2.122453544383758e-05,3.190116228788411e-05,-0.6653216974448152,0.5058447556625758
