term,estimate,se,z_value,p_value
Intercept,-0.005994068071038831,0.07573185446209002,-0.07914857114768464,0.9369144504694755
TSVR_hours,9.022188167583502e-05,0.0004581470515126706,0.196927779798971,0.8438840541935232
Age_c,0.0008535906523958076,0.005217056135847588,0.16361538579786228,0.8700339318201018
TSVR_hours:Age_c,-2.1211740468822336e-05,3.18333069872784e-05,-0.6663379484041424,0.505195114890546
