term,estimate,se,z_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Age_c,0.0008535804864964421,0.005255086068282723,0.1624294018033806,0.8709677189724261,1.0,False,False
TSVR_hours:Age_c,-2.122453544383758e-05,3.190116228788411e-05,-0.6653216974448152,0.5058447556625758,1.0,False,False
