model_name,re_formula,llf,n_params,AIC,BIC,converged,var_intercept,var_slope,cov_intercept_slope,delta_AIC,delta_BIC,preferred
Intercepts Only,~1,-431.2628549895844,5,872.5257099791688,892.4830327147088,True,0.41444556347494915,,,0.0,0.0,True
Random Slopes,~TSVR_hours,-431.2484469736971,7,876.4968939473943,904.4371457771501,True,0.42076106029895854,8.342625374946046e-09,-5.747449783801857e-05,3.971183968225432,11.954113062441365,False
