iteration,r_corrected_depression,r_corrected_anxiety,r_corrected_stress
1,0.2539637236438725,0.3048672130087395,0.521801665351598
2,0.12986723902021696,0.660245823449588,0.5658026041418027
3,0.11086821252798196,0.2631698536896874,0.10960990833907013
4,0.027366036933993473,0.14278940685185454,0.3008877303997446
5,-0.07753682115805731,0.6503668276674041,0.3335491825211614
6,0.18902300227612784,0.5352984064422494,0.3237811706075365
7,-0.04705045582648279,0.1778338032929057,0.09185188066282104
8,0.2055638108030325,0.6019627639449564,0.5731070239266824
9,-0.10995926563022902,0.3595714940434836,0.2501725171892373
10,0.13553432290786455,0.28984577213246415,0.33722040279643095
11,-0.10789127901051047,0.6174499972962028,0.5720595130034348
12,0.07164622831008624,0.31567768296840704,0.4682052737934807
13,0.030055813848643313,0.23580829391023664,0.24289992071883842
14,0.39251347451646895,0.23042069578026408,0.47887244301021925
15,-0.030981311448360468,0.247904765566891,0.3479050864173761
16,-0.13556021461430423,0.17891566014773222,0.06706139724928026
17,0.21460349138294182,0.2861310918219554,0.49116706494046436
18,-0.06991257434147591,0.5842638030766729,0.4439412745911682
19,0.09030896233147358,0.5850878952490638,0.459297357230127
20,-0.27237640249466594,0.08932100187443737,-0.021504292852543405
21,0.15394253638335004,0.6902780647094753,0.5981219724245159
22,-0.02337693321748399,0.5753367148732346,0.4283516528033181
23,0.1860409101898964,0.4797192970524221,0.3008608487626623
24,0.015317898925119075,0.3352773759973965,0.2687083205522588
25,0.39821330019990137,0.6204079490656483,0.6002048480290247
26,0.07857975684644937,0.29042566173469714,0.17540372472579283
27,0.17888094059848292,0.8316976947386084,0.8358186804583311
28,0.1454417263550002,0.21389884371736706,0.4067272428441391
29,-0.311187384930216,0.3743004858868686,0.42733149253342667
30,-0.08398595539821956,0.4206156922459449,0.24231733024764454
31,0.06543652229223344,0.12731210481067323,-0.01634396137390225
32,0.4061262665123894,1.485621293808426,0.5190702198021504
33,0.07261426078502965,0.4887177455676314,0.3710791834114078
34,0.2650193086414864,0.5276583400646252,0.4461853953358657
35,-0.18712737930765797,0.1534463449276524,0.20131555831411382
36,-0.1699555599133792,0.16239512997248176,0.12305192010604157
37,0.12883056072207485,0.08578584313319951,0.38707314995331416
38,0.28937781993238587,0.42817025123614727,0.46084899874582047
39,0.11564400692549567,0.38053289300514237,0.3181552326050319
40,0.1217263786398024,0.1713067065030122,0.2445800477415539
41,0.2971393900955594,0.43112597751690235,0.512070335426231
42,0.2776169854506676,0.11113868656243397,0.42510053342293386
43,-0.05621619947578948,0.4702767785084569,0.37275395102019354
44,0.3162606400386724,0.5060237172334835,0.5216489930192576
45,-0.36952340020500024,0.40282452355662984,0.2653106360687538
46,0.13269813847641396,-0.07696147529072044,0.28403233591207716
47,0.18116399008040765,0.856419415586903,0.45036791496721423
48,0.13959364802593363,0.6182292215834405,0.5749108845053578
49,-0.0842718580404956,0.35164015971404633,0.26953259172693955
50,-0.053663654737482434,0.4460867339468974,0.3344159181011815
51,0.5723117522749261,0.7140346010642529,0.725127034322881
52,0.07601853805967608,0.6853214724959483,0.4365632411530716
53,-0.11311591418837383,0.48833036333744434,0.22388565396074755
54,-0.3348495083351546,-0.09655258956550748,-0.1510626330126495
55,0.06108789357385452,0.271450195198274,0.20579682372458888
56,0.17713398326391974,0.3648844803390901,0.43486658048261567
57,-0.16630485874740755,0.15259561279195566,0.09414946386302499
58,0.4676304005489922,0.5713302702606761,0.6464357078807378
