analysis,predictor,sr2,rank
day0,RPM_T,0.11140996811517256,1
day0,RAVLT_T,0.032052756456596554,2
day0,BVMT_T,0.0064650485020081305,3
aggregated,RPM_T,0.0851991543277476,1
aggregated,RAVLT_T,0.02236851428211628,2
aggregated,BVMT_T,0.007417185287539763,3
