iteration,sr2_accuracy,sr2_confidence,delta
1,0.0800328044946691,0.05685053143903318,0.023182273055635916
2,0.1396298332757102,0.11804070913445719,0.021589124141253024
3,0.019400809235283534,0.006280213318014871,0.013120595917268663
4,0.11409784189278693,0.0969238996114945,0.01717394228129243
5,0.023860812941660092,0.012069920473489537,0.011790892468170555
6,0.09930167851255156,0.052096275257269675,0.047205403255281886
7,0.01963683555431106,0.015767258287020525,0.003869577267290536
8,0.10330215639834828,0.04449230018956296,0.058809856208785316
9,0.05330158125339379,0.012487447953979491,0.0408141332994143
10,0.07715559113976778,0.022250822756105793,0.054904768383661984
11,0.06932894829861502,0.027684249932489857,0.041644698366125166
12,0.0998932101681883,0.08150502302912244,0.01838818713906587
13,0.07502970904857209,0.037749631127352634,0.03728007792121946
14,0.10417888205256165,0.0425887043175085,0.06159017773505315
15,0.11846884004586378,0.09422241935251752,0.02424642069334626
16,0.09389937858918307,0.030349274215765054,0.06355010437341801
17,0.041818161215748884,0.0755230235420068,-0.03370486232625791
18,0.05922815809289861,0.06080957662795916,-0.0015814185350605525
19,0.14672245644880988,0.12177018381462745,0.024952272634182426
20,0.09644345019829237,0.06764189517098018,0.028801555027312187
21,0.05261380349877576,0.011038338141244441,0.041575465357531316
22,0.08852381601457737,0.1274528246381622,-0.03892900862358484
23,0.02436897162428686,0.0023307625003101684,0.022038209123976693
24,0.06544565948714687,0.059480343837693295,0.005965315649453573
25,0.05935164967058659,0.014555595952603695,0.0447960537179829
26,0.0480042343704985,0.03606063884825783,0.011943595522240669
27,0.18094830626719227,0.1418632573331765,0.039085048934015765
28,0.12448763208236258,0.031743038962112835,0.09274459312024974
29,0.04570362944978146,0.03745407113854715,0.008249558311234306
30,0.0898963090997783,0.04879608214943565,0.041100226950342655
31,0.062123827884673855,0.04859483985781632,0.013528988026857536
32,0.06936760604925507,0.028833949978241846,0.040533656071013224
33,0.016904586787917952,0.0021976358748321267,0.014706950913085826
34,0.07514276934165298,0.03387262362858934,0.041270145713063644
35,0.12072847031858747,0.07560279619661081,0.045125674121976656
36,0.0926857921533848,0.04488786028064118,0.047797931872743615
37,0.08853044362944595,0.12830371361253945,-0.039773269983093495
38,0.04813988511231426,0.025028681483999504,0.023111203628314758
