dass_subscale,sample_sd,population_sd,restriction_ratio_u
depression,3.2717956025165247,7.48,0.4374058292134391
anxiety,2.379712231138526,5.39,0.4415050521592813
stress,3.6047667655957207,8.04,0.4483540753228509
