dass_subscale,r_observed,p,N,sample_mean,sample_sd
depression,0.04726770496689992,0.6405031005786688,100,2.32,3.2717956025165247
anxiety,0.20821733526858352,0.03763225343614509,100,1.44,2.379712231138526
stress,0.1757323496923212,0.08031406573912149,100,3.34,3.6047667655957207
