UID,test,item,correct,TSVR_hours,age,congruence,log_TSVR,Age_c
A010,1,TQ_IRE-O-i6,0,1.0,22,incongruent,0.0,-22.57
A010,2,TQ_IFR-N-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-N-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-N-i3,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-N-i4,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-N-i5,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-N-i6,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i3,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i4,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i5,1,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-U-i6,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i3,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i4,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i5,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-D-i6,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i1,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i3,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i4,0,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i5,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_IFR-O-i6,1,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i2,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i3,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i4,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i5,1,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_ICR-N-i6,1,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i3,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i4,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i5,1,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_ICR-U-i6,0,21.9,22,incongruent,3.086486636822455,-22.57
A010,2,TQ_ICR-D-i1,1,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-D-i2,0,21.9,22,common,3.086486636822455,-22.57
A010,2,TQ_ICR-D-i3,1,21.9,22,congruent,3.086486636822455,-22.57
A010,2,TQ_ICR-D-i4,0,21.9,22,congruent,3.086486636822455,-22.57
