age_tertile,congruence,test,TSVR_hours,mean_theta_observed,mean_theta_predicted,CI_lower,CI_upper,N
Young,Common,T1,1.0,0.6979644173636362,0.6979644173636362,0.39431878468157766,1.0016100500456948,33
Young,Common,T2,29.661515151515154,0.2367804745454545,0.2367804745454545,0.005230612674051671,0.46833033641685734,33
Young,Common,T3,80.56393939393938,0.08263831675757574,0.08263831675757574,-0.1580096793194581,0.3232863128346096,33
Young,Common,T4,150.87909090909088,-0.20464681106060612,-0.20464681106060612,-0.4690890709473364,0.05979544882612414,33
Young,Congruent,T1,1.0,0.640284193030303,0.640284193030303,0.3023555380585084,0.9782128480020977,33
Young,Congruent,T2,29.661515151515154,0.1190430665151515,0.1190430665151515,-0.1650191146281036,0.4031052476584066,33
Young,Congruent,T3,80.56393939393938,0.16038052054545457,0.16038052054545457,-0.12003247231725353,0.44079351340816264,33
Young,Congruent,T4,150.87909090909088,-0.24685176757575758,-0.24685176757575758,-0.5271352479356581,0.033431712784143,33
Young,Incongruent,T1,1.0,0.7540309317636363,0.7540309317636363,0.5204594496638355,0.9876024138634372,33
Young,Incongruent,T2,29.661515151515154,0.2955170878181818,0.2955170878181818,0.03453159969342001,0.5565025759429436,33
Young,Incongruent,T3,80.56393939393938,0.08542817515151513,0.08542817515151513,-0.1850350492822565,0.35589139958528676,33
Young,Incongruent,T4,150.87909090909088,-0.26544121,-0.26544121,-0.5695793540669305,0.03869693406693053,33
Middle,Common,T1,1.0,0.30664556267647053,0.30664556267647053,-0.02546098534794028,0.6387521107008813,34
Middle,Common,T2,30.197941176470582,0.00831758911764706,0.00831758911764706,-0.2491123470121695,0.26574752524746365,34
Middle,Common,T3,78.21823529411765,-0.3608041071764706,-0.3608041071764706,-0.6259981004431157,-0.09561011390982554,34
Middle,Common,T4,150.68088235294115,-0.560289586764706,-0.560289586764706,-0.8294100776230378,-0.2911690959063742,34
Middle,Congruent,T1,1.0,0.292097468617647,0.292097468617647,-0.05494794541544351,0.6391428826507375,34
Middle,Congruent,T2,30.197941176470582,-0.04292880338235294,-0.04292880338235294,-0.25880098315563127,0.17294337639092536,34
Middle,Congruent,T3,78.21823529411765,-0.3605108230882353,-0.3605108230882353,-0.6490306891112902,-0.07199095706518038,34
Middle,Congruent,T4,150.68088235294115,-0.48975404529411765,-0.48975404529411765,-0.7143406075818157,-0.2651674830064196,34
Middle,Incongruent,T1,1.0,0.41203921941176475,0.41203921941176475,0.14285875275050913,0.6812196860730204,34
Middle,Incongruent,T2,30.197941176470582,-0.016443777352941166,-0.016443777352941166,-0.2687196669895774,0.23583211228369505,34
Middle,Incongruent,T3,78.21823529411765,-0.38747270500000003,-0.38747270500000003,-0.6801913127383521,-0.09475409726164791,34
Middle,Incongruent,T4,150.68088235294115,-0.5080750119117647,-0.5080750119117647,-0.7690762309962044,-0.2470737928273251,34
Older,Common,T1,1.0,0.35066577148,0.35066577148,0.08783211798410856,0.6134994249758914,33
Older,Common,T2,26.406363636363636,0.1292977903939394,0.1292977903939394,-0.16315094374414318,0.421746524532022,33
Older,Common,T3,77.23575757575757,-0.3535074090909091,-0.3535074090909091,-0.6573096681873166,-0.049705149994501596,33
Older,Common,T4,152.58666666666664,-0.376721341969697,-0.376721341969697,-0.6694014230773646,-0.08404126086202934,33
Older,Congruent,T1,1.0,0.3386440563636364,0.3386440563636364,0.06218672332152553,0.6151013894057473,33
Older,Congruent,T2,26.406363636363636,0.3888279445757577,0.3888279445757577,0.09070201068955208,0.6869538784619633,33
Older,Congruent,T3,77.23575757575757,-0.14063531806060608,-0.14063531806060608,-0.43459238650654397,0.1533217503853318,33
Older,Congruent,T4,152.58666666666664,-0.4540246507272727,-0.4540246507272727,-0.744165656878345,-0.16388364457620047,33
Older,Incongruent,T1,1.0,0.3502048241212121,0.3502048241212121,0.08767215429454589,0.6127374939478784,33
Older,Incongruent,T2,26.406363636363636,0.011997386818181825,0.011997386818181825,-0.2825979633658109,0.3065927370021745,33
Older,Incongruent,T3,77.23575757575757,-0.19195209724242424,-0.19195209724242424,-0.47250263780083396,0.08859844331598549,33
Older,Incongruent,T4,152.58666666666664,-0.4195111812424242,-0.4195111812424242,-0.7240143334543374,-0.11500802903051105,33
