congruence,age_slope,se,CI_lower,CI_upper,TSVR_day3
Common,-0.006217483266163341,0.0176621216036426,-0.04083524160930284,0.028400275076976154,78.6681
Congruent,-0.0014001661194917303,0.030180586625343085,-0.06055411590516418,0.05775378366618072,78.6681
Incongruent,-0.006418283929636656,0.030180586625342922,-0.06557223371530879,0.05273566585603547,78.6681
