term,coef,se,z,p_uncorrected,p_bonferroni,significant_bonferroni
Age_c:Congruent:recip_TSVR,-0.0671066085739246,0.0436603804356328,-1.537013830487752,0.1242899225606435,0.248579845121287,False
Age_c:Congruent:log_TSVR,-0.007418908192217,0.0055177900283474,-1.3445434048962848,0.1787727304421873,0.3575454608843746,False
Age_c:Incongruent:recip_TSVR,0.0223290523192834,0.0436603804356326,0.5114259678108539,0.6090528154205919,1.0,False
Age_c:Incongruent:log_TSVR,0.0034996318131417,0.0055177900283474,0.6342451951166269,0.5259208167715501,1.0,False
