contrast,estimate,se,z,p_uncorrected,p_tukey,significant_tukey
Congruent - Common,0.00481731714667161,0.03496881966254647,0.13776035888998628,0.8904298145969176,1.0,False
Incongruent - Common,-0.00020080066347331546,0.03496881966254633,-0.005742277417741521,0.9954183506835774,1.0,False
Incongruent - Congruent,-0.005018117810144926,0.04268179492593612,-0.11757044938837857,0.9064080204878158,1.0,False
