predictor,beta,se,ci_lower,ci_upper,p_uncorrected,p_bonferroni,p_fdr
Age_z,-0.05136503099904756,0.03568415287926491,-0.12220703131198353,0.019476969313888412,0.15331420752122116,0.15331420752122116,0.15331420752122116
Education_z,-0.05136503099904756,0.03568415287926485,-0.12220703131198342,0.0194769693138883,0.15331420752122046,0.45994262256366136,0.4073899046429414
VR_Experience_z,0.046939347753441774,0.06735175573736223,-0.08677079291226236,0.1806494884191459,0.48754955558193946,1.0,0.48754955558193946
Typical_Sleep_z,0.07956396684192421,0.07194963460398085,-0.06327411745774822,0.22240205114159664,0.2715932697619609,0.8147798092858827,0.4073899046429414
