UID,theta_all,theta_SE
A010,0.9708,1.2179
A011,0.0718,0.765
A012,0.3549,0.9984
A013,-0.1651,0.4346
A014,0.6169,0.9879
A015,1.5595,0.548
A016,0.1133,1.0265
A017,0.3353,0.613
A018,-0.1045,0.4242
A019,-1.1302,0.5036
A020,-0.913,0.9829
A021,0.7906,0.4174
A022,0.1149,0.2489
A023,0.1335,0.5642
A024,-0.0451,0.4933
A025,0.3468,1.2458
A026,0.4069,0.6143
A027,-0.0579,0.8662
A028,0.1286,1.0055
A029,1.0231,0.5941
A030,0.4353,0.5569
A031,0.4144,1.2562
A032,0.7238,0.6868
A033,0.3752,0.573
A034,0.6093,1.0208
A035,-0.202,0.7344
A036,-0.0579,0.9921
A037,0.64,0.6919
A038,0.4967,0.6906
A039,1.192,0.7274
A040,-0.915,0.8867
A041,0.1097,0.9763
A042,-0.8263,0.4648
A043,0.4509,0.5881
A044,-0.8919,0.7972
A045,-1.072,0.1482
A046,-1.2128,0.355
A047,-1.0261,0.4887
A048,0.3138,0.5158
A049,0.4953,1.1344
A050,-0.7942,0.3155
A051,-0.0392,1.057
A052,0.0634,0.6266
A053,0.4583,0.8686
A054,1.0196,0.3327
A055,0.1026,0.6288
A056,-0.0719,0.7394
A057,-0.5121,0.6933
A058,-0.2525,0.9402
A059,0.9899,0.4282
A060,0.2356,0.7731
A061,0.8649,1.2195
A062,0.0902,1.036
A063,0.2933,0.6545
A064,0.3093,0.5058
A065,-1.9537,0.6527
A066,-0.5499,0.7577
A067,-0.8251,0.9994
A068,0.3739,0.7061
A069,-1.1794,0.5038
A070,-0.2107,0.6989
A071,0.1963,0.8126
A072,0.0779,0.7845
A073,0.3363,0.7079
A074,-0.255,1.0161
A075,-0.2911,0.9811
A076,-1.2208,0.925
A077,0.4863,0.5981
A078,-0.4988,0.6501
A079,-0.4405,0.6727
A080,0.0535,0.5715
A081,0.3615,0.5059
A082,0.4909,0.5177
A083,0.7503,0.8706
A084,-0.0109,0.32
A085,0.3394,0.9733
A086,-0.4303,0.9628
A087,0.5807,0.6777
A088,1.558,0.9468
A089,0.8651,0.5543
A090,-0.7529,0.7682
A091,-0.3731,0.7603
A092,-0.7276,0.4843
A093,0.4845,0.2067
A094,-0.9375,0.6456
A095,-0.0135,1.055
A096,-1.3259,0.687
A097,0.1424,0.5509
A098,0.3545,0.7762
A099,0.7514,0.665
A100,0.2622,0.3787
A101,-1.103,0.3354
A102,0.0113,0.7366
A103,-0.486,1.5374
A104,0.0596,1.4436
A105,0.2862,0.3723
A106,0.6701,0.5148
A107,-1.156,0.3775
A108,-0.7731,0.406
A109,-0.7203,0.5574
