UID,residual,fitted,leverage,cooks_d
A010,0.6424706448032063,0.32832935519679374,0.0994649344055304,0.02262077180029013
A011,-0.0948372552030271,0.1666372552030271,0.11918339693175534,0.0006173547917563596
A012,0.17814707567303747,0.17675292432696252,0.05718605914500476,0.000912278983305734
A013,-0.39222386943543935,0.22712386943543936,0.035331809563210255,0.0026098172721789625
A014,0.2412334853032898,0.3756665146967102,0.0859532393012742,0.0026750549048491896
A015,1.2447836950801028,0.3147163049198972,0.07965709238283036,0.06510959421760672
A016,-0.12090575295081445,0.23420575295081444,0.037426843134827956,0.00026384066484392985
A017,0.18649555110201083,0.14880444889798916,0.05392542142141141,0.0009362931595169486
A018,-0.3718791454199807,0.2673791454199807,0.04597687154274335,0.00312145698741336
A019,-1.3158270590235448,0.18562705902354465,0.06587648482423657,0.05840520195322042
A020,-0.9428506937434705,0.02985069374347052,0.0644098385403185,0.029227984244588376
A021,0.7275759137873632,0.06302408621263679,0.03342189164179254,0.008461470422802988
A022,-0.02597991120568624,0.14087991120568624,0.08239596334856976,2.9512277527488134e-05
A023,-0.06529633537393886,0.19879633537393887,0.028033222105528954,5.65301175850346e-05
A024,-0.4286461587129363,0.3835461587129363,0.0876058202985147,0.00863968516849771
A025,0.14800366462606113,0.19879633537393887,0.028033222105528954,0.00029043383558937275
A026,0.19883064967905345,0.20806935032094653,0.05342115074001402,0.0010531698220710795
A027,-0.12092408621263678,0.06302408621263679,0.03342189164179254,0.00023373020626626608
A028,-0.024651427055229436,0.15325142705522943,0.03376190338026687,9.819171296978252e-06
A029,0.8914931037413213,0.13160689625867858,0.03311374641441412,0.01257840631548135
A030,0.2887315762097202,0.14656842379027984,0.0352121371604158,0.0014091245526237973
A031,0.2580949657183118,0.1563050342816882,0.020329981405375508,0.0006304759290892574
A032,0.6488481718643223,0.0749518281356777,0.018829998002113303,0.003679425532021578
A033,0.17155780621839528,0.2036421937816047,0.0317478224728544,0.0004453382961201824
A034,0.5343481718643223,0.0749518281356777,0.018829998002113303,0.0024954133995357323
A035,-0.3255305220629475,0.12353052206294748,0.030095658012573693,0.0015148218541391617
A036,-0.18103164181252202,0.12313164181252201,0.031825748522515365,0.0004971788514496723
A037,0.4478866678910107,0.1921133321089893,0.02309532853552193,0.0021691427748470045
A038,0.5194562764727155,-0.022756276472715574,0.04462308966232528,0.005894408737046075
A039,1.0691001559596782,0.12289984404032162,0.03576405876099397,0.01964486511088484
A040,-1.011995239182654,0.09699523918265404,0.0272200457095377,0.013162811445552518
A041,0.17052042102562442,-0.060820421025624405,0.039703388802413274,0.0005593732232326685
A042,-1.0347880521892705,0.20848805218927052,0.05878547166124662,0.03174882598406036
A043,0.3607548465605207,0.0901451534394793,0.019109193678153176,0.001154934831469571
A044,-1.1542563784507085,0.2623563784507084,0.08319278227531315,0.05892047839886648
A045,-1.1287399631981128,0.05673996319811268,0.03521262207233173,0.021535503950791464
A046,-1.2050052510588858,-0.0077947489411143295,0.021242393220233365,0.014386763967724227
A047,-1.005534854958917,-0.02056514504108303,0.03331444772872167,0.016106030506760557
A048,0.18987059768662704,0.12392940231337299,0.03788294832068494,0.0006592277484355511
A049,0.31469570794572765,0.18060429205427234,0.04661626604736635,0.0022694245241168995
A050,-1.121489970840361,0.32728997084036093,0.10742537941509339,0.07577757675900935
A051,0.05920114841623404,-0.09840114841623404,0.13209494308141104,0.00027462123375663824
A052,0.1420334057127639,-0.07863340571276389,0.09253216077209522,0.0010128457656358358
A053,0.6301945321639169,-0.17189453216391687,0.057621795889783604,0.011513773503610117
A054,1.1083490748366993,-0.08874907483669933,0.0352914734886963,0.020814346500189818
A055,0.12921747028340677,-0.026617470283406764,0.012178028624291843,9.310954252737901e-05
A056,-0.008843553866666298,-0.06305644613333371,0.026081346783160916,9.608827423531959e-07
A057,-0.3211958423976671,-0.19090415760233292,0.10764274986166456,0.006231307705030023
A058,-0.14210639436674982,-0.11039360563325018,0.031830529487577246,0.0003064082345430856
A059,0.9857670070180734,0.004132992981926589,0.010709233945842816,0.004751066930938163
A060,0.44593773534935277,-0.21033773534935277,0.043523938179124325,0.004227275171781449
A061,0.8704837958915833,-0.0055837958915833305,0.02650730748483282,0.00947008120318084
A062,-0.010247726659538353,0.10044772665953836,0.03074943285080088,1.5358618205234898e-06
A063,0.3405522644248047,-0.04725226442480466,0.062084839460008354,0.003657278997057818
A064,0.2388202220797409,0.07047977792025911,0.05555647819332044,0.001587292687839377
A065,-1.8078969767898743,-0.14580302321012573,0.02945169903477717,0.04566205996666619
A066,-0.5831582875442781,0.03325828754427805,0.02473163672569315,0.003951023259951699
A067,-0.8648293146549257,0.039729314654925754,0.0364096116314701,0.013104607832470123
A068,0.3074683199865557,0.06643168001344431,0.03762252563929304,0.0017158917832906758
A069,-1.1066267649931563,-0.07277323500684363,0.04103236174043795,0.024414793089145098
A070,-0.14603820678158286,-0.06466179321841713,0.019699198408528493,0.0001953416800237776
A071,0.21301377731377322,-0.016713777313773225,0.014858754992152896,0.00031040799690764683
A072,0.12154794044449216,-0.043647940444492155,0.041552405634803474,0.000298597889533419
A073,0.3210819192719603,0.015218080728039735,0.12793196877441204,0.007748937324563145
A074,-0.18831415782817548,-0.06668584217182452,0.013403938177467371,0.0002181984705963673
A075,-0.10280567569762361,-0.18829432430237641,0.030166207026422438,0.00015145805039760236
A076,-0.8817917206226188,-0.3390082793773813,0.12242441018636457,0.055228478794122085
A077,0.6201752812870849,-0.13387528128708484,0.02267855317087568,0.00408038823732083
A078,-0.4078149000555914,-0.09098509994440863,0.02707525931879628,0.0021255552850487068
A079,-0.4373391333122496,-0.0031608666877504243,0.04056678045792822,0.0037662558152080925
A080,0.009707341463462554,0.043792658536537445,0.040770030464946636,1.8656418161166286e-06
A081,0.32253337825322986,0.03896662174677011,0.06509129314258028,0.0034615126111877223
A082,0.3582733715516514,0.1326266284483486,0.09169396705965019,0.0063743737341509735
A083,0.620938954932412,0.12936104506758792,0.08286768369503782,0.01697270706579242
A084,-0.021539087685269652,0.010639087685269652,0.07397772333981267,1.7883182072592624e-05
A085,0.6306722396270392,-0.2912722396270393,0.0826339561952463,0.01745069590945906
A086,-0.22520700330873855,-0.20509299669126146,0.028642699220565237,0.0006879419689117141
A087,0.6188714040142005,-0.03817140401420048,0.04369129496564653,0.008175825753857672
A088,1.7033843213418018,-0.1453843213418018,0.03200435090985684,0.04428122233094631
A089,1.1608192177842795,-0.2957192177842797,0.06411919183809814,0.044076614815698766
A090,-0.6194434205812391,-0.13345657941876085,0.04839174360451114,0.009161999273925145
A091,-0.24571099179835978,-0.1273890082016402,0.05262144759380023,0.0015816011075766667
A092,-0.635009552970508,-0.09259044702949207,0.024222284612686978,0.004583591715293179
A093,0.7033578834715861,-0.2188578834715862,0.03287161897615485,0.0077685086489471256
A094,-0.7655803957779048,-0.1719196042220952,0.04312261123590255,0.012334063246580831
A095,-0.08603889446636188,0.07253889446636189,0.07767182058299739,0.000302005094418706
A096,-1.1928224792137663,-0.13307752078623383,0.044986473790779545,0.03135787567541958
A097,0.4085950429715026,-0.26619504297150265,0.04158860119362063,0.003377447883676624
A098,0.3440927100869307,0.01040728991306929,0.03964183598614599,0.00227389462520342
A099,0.8433597690068662,-0.09195976900686618,0.047613851678773605,0.016682649693591744
A100,0.41410024212852625,-0.15190024212852624,0.057277952627622586,0.004938138009697301
A101,-0.8080983643344699,-0.2949016356655301,0.10067183413409914,0.036318854519983075
A102,0.26027766871429364,-0.24897766871429364,0.053606434399536246,0.0018116707656003186
A103,-0.29268290872835123,-0.19331709127164876,0.1058974336477727,0.005070345736325788
A104,0.2452844910024199,-0.1856844910024199,0.048146126635957624,0.0014285421721915237
A105,0.47593258890923473,-0.18973258890923472,0.057364399337112085,0.0065339793648401595
A106,0.7950660789978073,-0.12496607899780732,0.051160145729942166,0.01605034910551669
A107,-0.8422558213742789,-0.313744178625721,0.048590340001282616,0.017015117945567523
A108,-0.4613798703276864,-0.3117201296723136,0.05439764783677276,0.005786452804455931
A109,-0.6048387337214007,-0.1154612662785993,0.05299407420359192,0.00965902308192991
