block,R2,adj_R2,F,df1,df2,p
Block1,0.29549773638669474,0.2500459774439009,6.501348754370794,6.0,93.0,9.387121158918258e-06
Block2,0.30040177026144865,0.23044194728759348,4.293918387611023,9.0,90.0,0.00011589304236693002
Delta,0.00490403387475391,,0.21029357992743675,3.0,90.0,0.8890334968854479
