measure,value,ci_lower,ci_upper,interpretation,bootstrap_se
R2_full,0.0626417675894505,0.01695313929107965,0.21761647725867983,R² = 0.063,0.054307965785136546
Cohens_f2,0.026971181922883777,0.017245512700503833,0.2781461399045794,Small,0.07175459312681463
f2_change,0.026971181922883777,,,Small,
