fold,train_r2,test_r2,rmse,mae,gap
1,,-0.10242388543059522,0.5866253877837844,0.49087717157716904,
2,,-0.023645966400214657,0.820854711714814,0.6432051865191277,
3,,-0.26708898007588533,0.7139182200528109,0.5493840946765824,
4,,-0.41935676314576287,0.696489058742654,0.5694861437494252,
5,,0.14233991917078426,0.6047919187294739,0.4730750349470136,
